"Year","Winner","Age","Jockey","Trainer","Owner","Time"
"2013","Stephanie's Kitten","4","Julien Leparoux","Wayne M. Catalano","Ken & Sarah Ramsey","1:37.94"
"2012","Hungry Island","4","John Velazquez","Claude R. McGaughey III","Emory A. Hamilton","1:36.20"
"2011","Aviate","4","Kent Desormeaux","Bill Mott","Juddmonte Farms","1:36.67"
"2010","Ogies","4","Ramon A. Dominguez","Todd Pletcher","Patterson/Saufley/& others","1:38.35"
"2009","Tizaqueena","4","Jamie Theriot","Michael Stidham","Darley Stable","1:38.86"
"2008","Bayou's Lassie","5","Edgar Prado","Dale Romans","Jacks or Better Farm","1:37.70"
"2007","Take the Ribbon","4","Rafael Bejarano","Wallace A. Dollase","Eurowest Bloodstock","1:36.89"
"2006","Mirabilis","4","Pat Valenzuela","Robert J. Frankel","Juddmonte Farms","1:35.93"
"2005","Miss Terrible","6","Alex Solis","Bradley Ross","J. & G. Manoogian","1:35.89"
"2004","Shaconage","4","Brice Blanc","Mitch Shirota","Andrena Van Doren","1:36.10"
"2003","Heat Haze","4","Jose Valdivia, Jr.","Robert J. Frankel","Khalid Abdullah","1:39.96"
"2002","Stylish","4","Jerry Bailey","William I. Mott","The Thoroughbred Corp.","1:35.72"
"2001","Iftiraas","4","Jerry Bailey","William I. Mott","Gary A. Tanaka","1:36.69"
"2000","Don't Be Silly","5","Jorge Chavez","Merrill R. Scherer","Hall/Lunch/Scherer","1:34.78"
"1999","Shires Ende","4","John R. Velazquez","Richard Scherer","Carolyn Friedberg","1:35.43"
