"No","Peak","Country","Elevation (m)","Prominence (m)","Col (m)"
"1","Ras Dashen","Ethiopia","4,533","3,980","553"
"2","Tullu Deemtu","Ethiopia","4,400","2,527","1873"
"3","Ch'ok'e","Ethiopia","4,100","2,225","1875"
"4","Argun","Ethiopia","3,418","2,208","1210"
"5","Amba Farit","Ethiopia","4,270","2,061","2209"
"6","Guge","Ethiopia","3,568","2,013","1555"
"7","Ramlo","Eritrea","2,248","1,920","328"
"8","Mount Abuna Yosef","Ethiopia","4,260","1,909","2351"
"9","Tulu Welel","Ethiopia","3,301","1,742","1559"
"10","Mount Smith","Ethiopia","2,560","1,690","870"
"11","Aggio","Ethiopia","3,358","1,630","1728"
"12","Argun North","Ethiopia","3,405","1,610","1795"
"13","Moussa Ali Terara","Djibouti","2,021","1,607","414"
"14","Bada","Ethiopia","4,195","1,605","2590"
"15","Belaya","Ethiopia","2,731","1,601","1130"
"16","Karkoor","Somalia","2,120","1,598","522"
"17","Mai Gudo","Ethiopia","3,359","1,859","1770"
"18","Dubbai","Ethiopia","3,950","1,550","2400"
"19","Guna Terara","Ethiopia","4,120","1,510","2610"
"20","Delo","Ethiopia","3,240","1,510","1730"
"21","Gara Muleta","Ethiopia","3,405","1,502","1903"
