"Game","January","Opponent","Score","Record"
"37","1","[Boston_Bruins|Boston Bruins]","2 - 1","11-20-6"
"38","3","[Montreal_Canadiens|Montreal Canadiens]","4 - 3","12-20-6"
"39","6","[Chicago_Blackhawks|Chicago Black Hawks]","4 - 3","13-20-6"
"40","10","[Toronto_Maple_Leafs|Toronto Maple Leafs]","4 - 1","14-20-6"
"41","13","[Detroit_Red_Wings|Detroit Red Wings]","3 - 1","14-21-6"
"42","14","[Chicago_Blackhawks|Chicago Black Hawks]","2 - 0","15-21-6"
"43","16","[Toronto_Maple_Leafs|Toronto Maple Leafs]","4 - 0","15-22-6"
"44","17","[Detroit_Red_Wings|Detroit Red Wings]","3 - 2","16-22-6"
"45","20","[Boston_Bruins|Boston Bruins]","8 - 3","17-22-6"
"46","23","[Boston_Bruins|Boston Bruins]","4 - 3","18-22-6"
"47","24","[Boston_Bruins|Boston Bruins]","2 - 1","18-23-6"
"48","28","[Detroit_Red_Wings|Detroit Red Wings]","3 - 3","18-23-7"
"49","30","[Montreal_Canadiens|Montreal Canadiens]","2 - 1","19-23-7"
