"No.","[Pinyin|Hanyu]","[Tongyong_Pinyin|Tongyong]","[Pe̍h-ōe-jī|Pe̍h-ōe-jī]","[Chinese_characters|Chinese]","Area (km²)","No. of villages","Population (2010)"
"1","Yancheng","Yancheng","Iâm-tiâⁿ","鹽埕區","1.4161","21","27,651"
"2","Gushan","Gushan","Kó͘-san","鼓山區","14.7458","38","129,521"
"3","Zuoying","Zuoying","Chó-iâⁿ","左營區","19.3888","44","189,944"
"4","Nanzi","Nanzih","Lâm-chú","楠梓區","25.8276","37","171,906"
"5","Sanmin","Sanmin","Sam-bîn","三民區","19.7866","88","355,097"
"6","Xinxing","Sinsing","Sin-heng","新興區","1.9764","32","55,744"
"7","Qianjin","Cianjin","Chiân-kim","前金區","1.8573","20","29,208"
"8","Lingya","Lingya","Lêng-ngá","苓雅區","8.1522","69","185,021"
"9","Qianzhen","Cianjhen","Chiân-tìn","前鎮區","19.1207","61","199,951"
"10","Qijin","Cijin","Kî-tin","旗津區","1.4639","13","29,975"
"11","Xiaogang","Siaogang","Sió-káng","小港區","39.8573","38","153,896"
"12","Fengshan","Fongshan","Hōng-soaⁿ","鳳山區","26.7590","78","339,952"
"13","Linyuan","Linyuan","Lîm-hn̂g","林園區","32.2860","24","70,770"
"14","Daliao","Daliao","Toā-liâu","大寮區","71.0400","25","109,257"
"15","Dashu","Dashu","Toā-chhiū","大樹區","66.9811","18","44,230"
"16","Dashe","Dashe","Toā-siā","大社區","26.5848","9","32,808"
"17","Renwu","Renwu","Jîn-bú","仁武區","36.0808","16","70,242"
"18","Niaosong","Niaosong","Chiáu-chhêng","鳥松區","24.5927","7","42,135"
"19","Gangshan","Gangshan","Kong-san","岡山區","47.9421","33","97,095"
"20","Qiaotou","Ciaotou","Kiô-thâu","橋頭區","25.9379","17","36,284"
"21","Yanchao","Yanchao","Iàn-châu","燕巢區","65.3950","11","31,059"
"22","Tianliao","Tianliao","Chhân-liâu","田寮區","92.6802","10","8,325"
"23","Alian","Alian","A-lian","阿蓮區","34.6164","12","30,613"
"24","Luzhu","Lujhu","Lō͘-tek","路竹區","48.4348","20","54,137"
"25","Hunei","Hunei","Ô͘-lāi","湖內區","20.1615","14","28,697"
"26","Qieding","Cieding","Ka-tiāⁿ","茄萣區","15.7624","15","31,583"
"27","Yong'an","Yong-an","Éng-an","永安區","22.6141","6","14,253"
"28","Mituo","Mituo","Mî-tô","彌陀區","14.7772","12","20,613"
"29","Ziguan","Zihguan","Chú-koaⁿ","梓官區","11.5967","15","36,867"
"30","Qishan","Cishan","Kî-san","旗山區","94.6122","21","40,368"
"31","Meinong","Meinong","Bi-long","美濃區","120.0316","19","43,444"
"32","Liugui","Liouguei","La̍k-ku","六龜區","194.1584","12","15,354"
"33","Jiaxian","Jiasian","Kah-sian","甲仙區","124.0340","7","7,616"
"34","Shanlin","Shanlin","Sam-nâ","杉林區","104.0036","7","11,102"
"35","Neimen","Neimen","Lāi-mn̂g","內門區","95.6224","18","16,085"
"36","Maolin","Maolin","Bō͘-lîm","茂林區","194.0000","3","1,850"
"37","Taoyuan","Taoyuan","Thô-goân","桃源區","928.9800","8","4,777"
"38","Namaxia","Namasia","Namasia","那瑪夏區","252.9895","3","3,457"
