"Player","Span","Mat","Inn","NO","Runs","HS","Avg","100","50","0","Player Profile"
"SR Tendulkar","1989-2013","200","329","33","15921","248","53.78","51","68","14","http://stats.espncricinfo.com/ci/content/player/35320.html"
"RT Ponting","1995-2012","168","287","29","13378","257","51.85","41","62","17","http://stats.espncricinfo.com/ci/content/player/7133.html"
"JH Kallis","1995-2013","166","280","40","13289","224","55.37","45","58","16","http://stats.espncricinfo.com/ci/content/player/45789.html"
"R Dravid","1996-2012","164","286","32","13288","270","52.31","36","63","8","http://stats.espncricinfo.com/ci/content/player/28114.html"
"AN Cook","2006-2018","161","291","16","12472","294","45.35","33","57","9","http://stats.espncricinfo.com/ci/content/player/11728.html"
"KC Sangakkara","2000-2015","134","233","17","12400","319","57.4","38","52","11","http://stats.espncricinfo.com/ci/content/player/50710.html"
"BC Lara","1990-2006","131","232","6","11953","400","52.88","34","48","17","http://stats.espncricinfo.com/ci/content/player/52337.html"
"S Chanderpaul","1994-2015","164","280","49","11867","203","51.37","30","66","15","http://stats.espncricinfo.com/ci/content/player/51469.html"
"DPMD Jayawardene","1997-2014","149","252","15","11814","374","49.84","34","50","15","http://stats.espncricinfo.com/ci/content/player/49289.html"
"AR Border","1978-1994","156","265","44","11174","205","50.56","27","63","11","http://stats.espncricinfo.com/ci/content/player/4174.html"
"SR Waugh","1985-2004","168","260","46","10927","200","51.06","32","50","22","http://stats.espncricinfo.com/ci/content/player/8192.html"
"SM Gavaskar","1971-1987","125","214","16","10122","236","51.12","34","45","12","http://stats.espncricinfo.com/ci/content/player/28794.html"
"Younis Khan","2000-2017","118","213","19","10099","313","52.05","34","33","19","http://stats.espncricinfo.com/ci/content/player/43652.html"
"HM Amla","2004-2019","124","215","16","9282","311","46.64","28","41","13","http://stats.espncricinfo.com/ci/content/player/43906.html"
"GC Smith","2002-2014","117","205","13","9265","277","48.25","27","38","11","http://stats.espncricinfo.com/ci/content/player/47270.html"
"GA Gooch","1975-1995","118","215","6","8900","333","42.58","20","46","13","http://stats.espncricinfo.com/ci/content/player/13399.html"
"Javed Miandad","1976-1993","124","189","21","8832","280","52.57","23","43","6","http://stats.espncricinfo.com/ci/content/player/40879.html"
"Inzamam-ul-Haq","1992-2007","120","200","22","8830","329","49.6","25","46","15","http://stats.espncricinfo.com/ci/content/player/40570.html"
"VVS Laxman","1996-2012","134","225","34","8781","281","45.97","17","56","14","http://stats.espncricinfo.com/ci/content/player/30750.html"
"AB de Villiers","2004-2018","114","191","18","8765","278","50.66","22","46","8","http://stats.espncricinfo.com/ci/content/player/44936.html"
"MJ Clarke","2004-2015","115","198","22","8643","329","49.1","28","27","9","http://stats.espncricinfo.com/ci/content/player/4578.html"
"ML Hayden","1994-2009","103","184","14","8625","380","50.73","30","29","14","http://stats.espncricinfo.com/ci/content/player/5616.html"
"V Sehwag","2001-2013","104","180","6","8586","319","49.34","23","32","16","http://stats.espncricinfo.com/ci/content/player/35263.html"
"IVA Richards","1974-1991","121","182","12","8540","291","50.23","24","45","10","http://stats.espncricinfo.com/ci/content/player/52812.html"
"AJ Stewart","1990-2003","133","235","21","8463","190","39.54","15","45","14","http://stats.espncricinfo.com/ci/content/player/20372.html"
