"","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","target","song_title","artist"
"0","0.0102","0.833","204600","0.434","0.0219","2","0.165","-8.795","1","0.431","150.062","4.0","0.286","1","Mask Off","Future"
"1","0.199","0.743","326933","0.359","0.00611","1","0.137","-10.401","1","0.0794","160.083","4.0","0.588","1","Redbone","Childish Gambino"
"2","0.0344","0.838","185707","0.412","0.000234","2","0.159","-7.148","1","0.289","75.044","4.0","0.173","1","Xanny Family","Future"
"3","0.604","0.494","199413","0.338","0.51","5","0.0922","-15.236","1","0.0261","86.468","4.0","0.23","1","Master Of None","Beach House"
"4","0.18","0.678","392893","0.561","0.512","5","0.439","-11.648","0","0.0694","174.004","4.0","0.904","1","Parallel Lines","Junior Boys"
"5","0.00479","0.804","251333","0.56","0.0","8","0.164","-6.682","1","0.185","85.023","4.0","0.264","1","Sneakin'","Drake"
"6","0.0145","0.739","241400","0.472","7.27e-06","1","0.207","-11.204","1","0.156","80.03","4.0","0.308","1","Childs Play","Drake"
"7","0.0202","0.266","349667","0.348","0.664","10","0.16","-11.609","0","0.0371","144.154","4.0","0.393","1","Gyöngyhajú lány","Omega"
"8","0.0481","0.603","202853","0.944","0.0","11","0.342","-3.626","0","0.347","130.035","4.0","0.398","1","I've Seen Footage","Death Grips"
"9","0.00208","0.836","226840","0.603","0.0","7","0.571","-7.792","1","0.237","99.994","4.0","0.386","1","Digital Animal","Honey Claws"
"10","0.0572","0.525","358187","0.855","0.0143","5","0.649","-7.372","0","0.0548","111.951","3.0","0.524","1","Subways - In Flagranti Extended Edit","The Avalanches"
"11","0.0915","0.753","324880","0.748","0.00348","10","0.212","-8.62","1","0.0494","104.322","4.0","0.642","1","Donme Dolap - Baris K Edit","Modern Folk Üçlüsü"
"12","0.253","0.603","356973","0.434","0.0619","0","0.108","-11.062","1","0.0342","127.681","4.0","0.381","1","Cemalim","Erkin Koray"
"13","0.366","0.762","243270","0.476","0.0","0","0.103","-12.686","1","0.114","130.007","4.0","0.367","1","One Night","Lil Yachty"
"14","0.44","0.662","247288","0.603","0.0","9","0.0972","-8.317","0","0.0793","125.011","4.0","0.351","1","Oh lala","PNL"
"15","0.019","0.637","188333","0.832","0.0563","6","0.316","-6.637","1","0.163","99.988","4.0","0.317","1","Char","Crystal Castles"
"16","0.0239","0.603","270827","0.955","0.0451","1","0.119","-4.111","1","0.0458","123.922","4.0","0.773","1","World In Motion","New Order"
"17","0.233","0.789","447907","0.659","0.00049","4","0.184","-12.654","0","0.0429","122.415","4.0","0.842","1","One Nation Under a Groove","Funkadelic"
"18","0.314","0.713","195429","0.611","0.0","1","0.117","-6.702","0","0.241","140.061","4.0","0.783","1","Bouncin","Chief Keef"
"19","0.0242","0.735","214347","0.759","0.185","1","0.0966","-6.914","0","0.0449","109.982","4.0","0.763","1","C O O L - Radio Edit","Le Youth"
"20","0.000702","0.854","249253","0.719","0.308","10","0.428","-9.335","0","0.0655","128.049","4.0","0.471","1","Percolator  - mixed","Cajmere"
"21","0.00024","0.747","307680","0.74","0.369","1","0.0995","-4.134","1","0.0323","130.031","4.0","0.77","1","House of Jealous Lovers","The Rapture"
"22","0.118","0.854","287086","0.401","0.0","9","0.527","-8.553","1","0.395","139.922","4.0","0.441","1","Imma Ride","Young Thug"
"23","0.000596","0.224","132760","0.925","1.35e-06","11","0.0663","-1.71","0","0.0834","138.022","4.0","0.364","1","Girlfriend","Ty Segall"
"24","0.279","0.512","203400","0.564","1.54e-05","10","0.133","-5.892","1","0.0316","94.498","4.0","0.401","1","If I Gave You My Love","Myron & E"
"25","0.00219","0.781","205160","0.795","0.269","7","0.0673","-6.758","1","0.036","109.977","4.0","0.795","1","This Ready Flesh","TR/ST"
"26","0.341","0.411","199500","0.684","1.42e-06","11","0.198","-6.889","0","0.383","110.016","4.0","0.598","1","Lose My Mind","A-Trak"
"27","0.018","0.646","188333","0.837","0.0403","6","0.316","-6.615","1","0.134","100.04","4.0","0.32","1","Char","Crystal Castles"
"28","0.0516","0.782","228562","0.572","0.0","4","0.33","-7.467","0","0.0385","120.021","4.0","0.237","1","Look Alive","Rae Sremmurd"
"29","0.282","0.735","186096","0.4","0.125","1","0.0811","-12.766","1","0.102","129.004","4.0","0.326","1","Please Stop Making Fake Versace","Father"
"30","0.00791","0.45","220934","0.449","0.0","2","0.173","-12.037","1","0.156","135.45","4.0","0.137","1","Milly Rock","2milly"
"31","0.0219","0.897","285240","0.642","1.31e-06","2","0.159","-8.828","1","0.0534","127.984","4.0","0.27","1","Blase","Ty Dolla $ign"
"32","0.0358","0.959","213000","0.598","0.0","8","0.358","-5.534","1","0.0713","127.029","4.0","0.424","1","Best Friend","Young Thug"
"33","0.0324","0.742","280831","0.559","0.0","5","0.0987","-5.876","1","0.141","146.923","4.0","0.429","1","Hercules","Young Thug"
"34","0.118","0.805","232880","0.687","0.0","9","0.0842","-7.771","1","0.0458","119.999","4.0","0.683","1","Who Be Lovin Me","Santigold"
"35","0.0428","0.667","230693","0.581","0.0","0","0.183","-5.164","0","0.323","110.953","4.0","0.372","1","Check","Young Thug"
"36","0.297","0.722","175613","0.823","0.0","7","0.489","-3.916","1","0.081","148.23","4.0","0.855","1","Poppin' My Collar","Three 6 Mafia"
"37","0.0565","0.853","205879","0.547","0.0","1","0.341","-7.535","1","0.194","142.065","4.0","0.677","1","Jumpman","Drake"
"38","0.0128","0.747","213507","0.705","0.0","9","0.126","-5.137","0","0.126","136.024","4.0","0.571","1","7/11","Beyonce"
"39","0.135","0.777","237187","0.591","5.5e-05","1","0.126","-7.431","0","0.0327","124.111","4.0","0.848","1","Somebody's Watching Me","Rockwell"
"40","0.00041","0.731","324541","0.852","0.625","11","0.358","-6.08","1","0.0476","125.008","4.0","0.622","1","Bang That","Disclosure"
"41","0.00356","0.76","186122","0.402","0.0","8","0.333","-8.751","1","0.164","147.028","4.0","0.069","1","I Don't Sell Molly No More","ILoveMakonnen"
"42","0.00156","0.624","183000","0.792","1.54e-06","10","0.0772","-5.33","0","0.0473","139.94","4.0","0.318","1","Versace Python","Riff Raff"
"43","0.00243","0.621","378893","0.683","0.00856","11","0.525","-5.619","0","0.242","124.283","5.0","0.0891","1","Monster","Kanye West"
"44","0.533","0.64","234526","0.819","0.0","7","0.156","-4.108","1","0.455","166.012","4.0","0.624","1","OOOUUU","Young M.A."
"45","0.00631","0.715","213093","0.833","0.0","2","0.164","-5.379","1","0.108","95.487","4.0","0.607","1","Return Of The Mack - C & J Street Mix","Mark Morrison"
"46","0.00182","0.7","386160","0.756","0.711","2","0.0575","-10.714","1","0.0575","114.28","4.0","0.947","1","Fantastic Man","William Onyeabor"
"47","0.0923","0.789","175240","0.494","0.000408","1","0.144","-13.702","1","0.0456","104.593","4.0","0.832","1","Right Place Wrong Time","Dr. John"
"48","0.375","0.796","252547","0.86","0.00457","5","0.0745","-6.202","0","0.0653","129.008","3.0","0.973","1","Azon de ma gnin kpevi","T. P. Orchestre Poly-Rythmo"
"49","0.183","0.716","576888","0.957","0.058","3","0.182","-4.814","1","0.0689","106.714","4.0","0.93","1","Odofo Nyi Akyiri Biara","Ebo Taylor"
"50","0.0185","0.74","241341","0.846","0.0624","2","0.254","-6.039","1","0.0808","95.995","4.0","0.852","1","Annie","Neon Indian"
"51","0.0638","0.7","224480","0.84","0.112","7","0.141","-6.227","0","0.0292","132.475","4.0","0.745","1","The Chase","Future Islands"
"52","0.456","0.514","215613","0.453","0.000181","6","0.178","-7.062","1","0.0267","75.548","4.0","0.532","1","Coming Home","Leon Bridges"
"53","0.128","0.313","286960","0.77","0.0787","7","0.0873","-7.265","1","0.0335","74.749","4.0","0.186","1","Wishes","Beach House"
"54","0.246","0.676","254769","0.528","0.0","7","0.0803","-8.699","1","0.0366","130.073","4.0","0.301","1","White Iverson","Post Malone"
"55","0.12","0.532","213622","0.596","0.0","11","0.504","-9.912","0","0.187","119.296","5.0","0.486","1","I Know There's Gonna Be","Jamie xx"
"56","0.00426","0.646","283067","0.629","0.277","8","0.122","-10.775","0","0.0427","109.013","4.0","0.176","1","Loud Places","Jamie xx"
"57","0.193","0.598","238307","0.252","0.138","2","0.0992","-15.086","1","0.0647","120.06","4.0","0.0359","1","L$D","A$AP Rocky"
"58","0.0174","0.754","113373","0.442","9.4e-05","5","0.0622","-8.873","0","0.127","148.04","4.0","0.599","1","Dopeman","Vince Staples"
"59","0.000392","0.294","311360","0.786","0.865","2","0.272","-3.626","1","0.0378","81.108","4.0","0.136","1","California Nights","Best Coast"
"60","0.435","0.622","287427","0.253","0.471","2","0.0941","-14.36","1","0.0331","92.584","4.0","0.328","1","Baby","Ariel Pink's Haunted Graffiti"
"61","0.257","0.559","225347","0.656","0.000171","9","0.2","-8.699","0","0.0469","79.638","4.0","0.671","1","Ain't No Love In The Heart Of The City - Single Version","Bobby ""Blue"" Bland"
"62","0.000145","0.54","293646","0.945","0.753","9","0.667","-6.64","1","0.0406","92.995","4.0","0.87","1","Fail to Cry","Yacht Club"
"63","0.273","0.793","232251","0.7","0.0","0","0.174","-6.641","0","0.0572","140.058","4.0","0.887","1","Evil Friends  - Jake One Remix","Portugal. The Man"
"64","0.374","0.549","223720","0.715","3.5e-06","1","0.17","-11.164","1","0.0633","82.118","4.0","0.785","1","Ikimiz Bir Fidaniz - Baris K Edit","Umit Aksu Orkestrasi"
"65","0.00266","0.557","186397","0.607","0.771","0","0.33","-10.088","1","0.0578","73.061","4.0","0.259","1","Sentimental Trash","Sweet Valley"
"66","0.000546","0.597","279240","0.444","0.051","2","0.335","-8.39","0","0.03","120.074","4.0","0.361","1","Get Away","CHVRCHES"
"67","0.00781","0.879","213786","0.512","1.45e-05","0","0.134","-7.83","1","0.0775","127.95","4.0","0.277","1","Look At Wrist","Father"
"68","0.125","0.726","334173","0.497","0.89","10","0.104","-10.742","0","0.0433","125.004","4.0","0.472","1","Our Love","Caribou"
"69","0.00158","0.857","134062","0.831","0.0","2","0.154","-4.664","1","0.0995","106.059","4.0","0.251","1","I Ain't Trippin off Nothin","Ezale"
"70","0.0132","0.807","330920","0.778","0.666","0","0.109","-5.485","1","0.0399","120.001","4.0","0.797","1","They Don't Know - Original Mix","Disciples"
"71","0.783","0.596","196627","0.639","0.569","0","0.331","-6.546","1","0.03","124.012","4.0","0.197","1","Sabali","Amadou & Mariam"
"72","0.518","0.683","155133","0.708","2.08e-05","4","0.175","-6.852","0","0.0289","106.446","4.0","0.967","1","Spooky","Dusty Springfield"
"73","0.0548","0.768","239908","0.853","0.13","10","0.0188","-5.915","0","0.0427","107.234","4.0","0.887","1","Pick Up The Pieces","Average White Band"
"74","0.727","0.506","160400","0.948","0.0","10","0.0904","-5.626","1","0.105","130.195","4.0","0.936","1","Have Love Will Travel","The Sonics"
"75","0.000313","0.457","293533","0.918","0.000215","11","0.769","-5.295","0","0.0471","105.018","4.0","0.297","1","Capitol","TR/ST"
