"report_year","agency_code","agency_jurisdiction","population","violent_crimes","homicides","rapes","assaults","robberies","months_reported","crimes_percapita","homicides_percapita","rapes_percapita","assaults_percapita","robberies_percapita"
"1975-01-01T00:00:00","NM00101","Albuquerque, NM","286238","2383","30","181","1353","819","12","832.52","10.48","63.23","472.68","286.13"
"1975-01-01T00:00:00","TX22001","Arlington, TX","112478","278","5","28","132","113","12","247.16","4.45","24.89","117.36","100.46"
"1975-01-01T00:00:00","GAAPD00","Atlanta, GA","490584","8033","185","443","3518","3887","12","1637.44","37.71","90.3","717.1","792.32"
"1975-01-01T00:00:00","CO00101","Aurora, CO","116656","611","7","44","389","171","12","523.76","6.0","37.72","333.46","146.58"
"1975-01-01T00:00:00","TX22701","Austin, TX","300400","1215","33","190","463","529","12","404.46","10.99","63.25","154.13","176.1"
"1975-01-01T00:00:00","MD00301","Baltimore County, MD","642154","1259","25","137","347","750","12","196.06","3.89","21.33","54.04","116.79"
"1975-01-01T00:00:00","MDBPD00","Baltimore, MD","864100","16086","259","463","6309","9055","12","1861.59","29.97","53.58","730.12","1047.91"
"1975-01-01T00:00:00","MA01301","Boston, MA","616120","11386","119","453","3036","7778","12","1848.02","19.31","73.52","492.76","1262.42"
"1975-01-01T00:00:00","NY01401","Buffalo, NY","422276","3350","63","192","755","2340","12","793.32","14.92","45.47","178.79","554.14"
"1975-01-01T00:00:00","NC06001","Charlotte, NC","262103","1937","68","71","976","822","12","739.02","25.94","27.09","372.37","313.62"
"1975-01-01T00:00:00","ILCPD00","Chicago, IL","3150000","37160","818","1657","12514","22171","12","1179.68","25.97","52.6","397.27","703.84"
"1975-01-01T00:00:00","OHCIP00","Cincinnati, OH","433367","3578","64","261","1508","1745","12","825.63","14.77","60.23","347.97","402.66"
"1975-01-01T00:00:00","OHCLP00","Cleveland, OH","659931","10403","288","491","2524","7100","12","1576.38","43.64","74.4","382.46","1075.87"
"1975-01-01T00:00:00","OHCOP00","Columbus, OH","572797","3980","62","416","1100","2402","12","694.84","10.82","72.63","192.04","419.35"
"1975-01-01T00:00:00","TXDPD00","Dallas, TX","864665","7655","237","547","3485","3386","12","885.31","27.41","63.26","403.05","391.6"
"1975-01-01T00:00:00","CODPD00","Denver, CO","508140","4960","74","480","1838","2568","12","976.11","14.56","94.46","361.71","505.37"
"1975-01-01T00:00:00","MI82349","Detroit, MI","1432444","30387","633","1424","7013","21317","12","2121.34","44.19","99.41","489.58","1488.16"
"1975-01-01T00:00:00","TX07102","El Paso, TX","369000","1618","21","122","635","840","12","438.48","5.69","33.06","172.09","227.64"
"1975-01-01T00:00:00","VA02901","Fairfax County, VA","487905","805","21","104","247","433","12","164.99","4.3","21.32","50.62","88.75"
"1975-01-01T00:00:00","TX22012","Fort Worth, TX","381275","1939","69","169","494","1207","12","508.56","18.1","44.32","129.57","316.57"
"1975-01-01T00:00:00","CA01005","Fresno, CA","176500","1141","25","84","465","567","12","646.46","14.16","47.59","263.46","321.25"
"1975-01-01T00:00:00","HI00200","Honolulu, HI","705262","1596","58","169","319","1050","12","226.3","8.22","23.96","45.23","148.88"
"1975-01-01T00:00:00","TXHPD00","Houston, TX","1372342","8924","347","588","1567","6422","12","650.28","25.29","42.85","114.18","467.96"
"1975-01-01T00:00:00","INIPD00","Indianapolis, IN","503411","4655","95","351","1117","3092","12","924.69","18.87","69.72","221.89","614.21"
"1975-01-01T00:00:00","FL01602","Jacksonville, FL","542792","4579","91","316","2445","1727","12","843.6","16.77","58.22","450.45","318.17"
"1975-01-01T00:00:00","MOKPD00","Kansas City, MO","489094","6072","114","302","2575","3081","12","1241.48","23.31","61.75","526.48","629.94"
"1975-01-01T00:00:00","NV00201","Las Vegas, NV","249186","2594","37","169","1043","1345","12","1040.99","14.85","67.82","418.56","539.76"
"1975-01-01T00:00:00","CA01941","Long Beach, CA","340758","3189","54","169","1007","1959","12","935.85","15.85","49.6","295.52","574.89"
"1975-01-01T00:00:00","CA01900","Los Angeles County, CA","1022888","9792","138","471","6128","3055","12","957.29","13.49","46.05","599.09","298.66"
"1975-01-01T00:00:00","CA01942","Los Angeles, CA","2729878","30405","554","1768","13493","14590","12","1113.79","20.29","64.76","494.27","534.46"
"1975-01-01T00:00:00","KY05680","Louisville, KY","","","","","","","","","","","",""
"1975-01-01T00:00:00","TNMPD00","Memphis, TN","646483","5429","120","521","1805","2983","12","839.77","18.56","80.59","279.2","461.42"
"1975-01-01T00:00:00","AZ00717","Mesa, AZ","113176","267","2","22","145","98","12","235.92","1.77","19.44","128.12","86.59"
"1975-01-01T00:00:00","FL01300","Miami-Dade County, FL","619795","6702","94","174","4008","2426","11","1081.33","15.17","28.07","646.67","391.42"
"1975-01-01T00:00:00","FL01306","Miami, FL","350742","6213","98","178","3280","2657","12","1771.39","27.94","50.75","935.16","757.54"
"1975-01-01T00:00:00","WIMPD00","Milwaukee, WI","674369","3204","70","146","1020","1968","12","475.11","10.38","21.65","151.25","291.83"
"1975-01-01T00:00:00","MN02711","Minneapolis, MN","405378","3326","47","307","1134","1838","12","820.47","11.59","75.73","279.74","453.4"
"1975-01-01T00:00:00","MD01604","Montgomery County, MD","496092","967","19","84","286","578","12","194.92","3.83","16.93","57.65","116.51"
"1975-01-01T00:00:00","TN01901","Nashville, TN","449600","3158","93","110","952","2003","12","702.4","20.69","24.47","211.74","445.51"
"1975-01-01T00:00:00","NY02900","Nassau County, NY","1100426","993","18","33","256","686","12","90.24","1.64","3.0","23.26","62.34"
"1975-01-01T00:00:00","LANPD00","New Orleans, LA","571934","5993","158","237","2002","3596","12","1047.85","27.63","41.44","350.04","628.74"
"1975-01-01T00:00:00","NY03030","New York City, NY","7422506","132182","1645","3866","43481","83190","12","1780.83","22.16","52.08","585.8","1120.78"
"1975-01-01T00:00:00","NJNPD00","Newark, NJ","372663","7136","122","297","2444","4273","12","1914.87","32.74","79.7","655.82","1146.61"
"1975-01-01T00:00:00","CA00109","Oakland, CA","337748","5900","111","316","2288","3185","12","1746.86","32.86","93.56","677.43","943.01"
"1975-01-01T00:00:00","OK05506","Oklahoma City, OK","384081","2666","61","249","1364","992","12","694.12","15.88","64.83","355.13","258.28"
"1975-01-01T00:00:00","NB02802","Omaha, NE","391389","2540","36","178","1115","1211","12","648.97","9.2","45.48","284.88","309.41"
"1975-01-01T00:00:00","FL04804","Orlando, FL","118457","1116","21","86","705","304","12","942.11","17.73","72.6","595.15","256.63"
"1975-01-01T00:00:00","PAPEP00","Philadelphia, PA","1883253","16332","435","716","4776","10405","12","867.22","23.1","38.02","253.6","552.5"
"1975-01-01T00:00:00","AZ00723","Phoenix, AZ","668046","4649","75","311","2325","1938","12","695.91","11.23","46.55","348.03","290.1"
"1975-01-01T00:00:00","PAPPD00","Pittsburgh, PA","479083","4967","63","237","1923","2744","12","1036.77","13.15","49.47","401.39","572.76"
