"N°","Television service","Country","Language","Content","DAR","HDTV","PPV","Package/Option"
"601","DeA Kids","Italy","Italian","bambini e ragazzi","2000-01-01T04:03:00","no","no","Sky Famiglia"
"602","DeA Kids +1","Italy","Italian","timeshift +1 di DeA Kids","2000-01-01T04:03:00","no","no","Sky Famiglia"
"603","Nick Jr.","Italy","Italian","bambini","2000-01-01T04:03:00","no","no","Sky Famiglia"
"604","Nick Jr. +1","Italy","Italian","timeshift +1 di Nick Jr.","2000-01-01T04:03:00","no","no","Sky Famiglia"
"605","Nickelodeon","Italy","Italian English","cartoni e ragazzi","2000-01-01T04:03:00","no","no","Sky Famiglia"
"606","Nickelodeon +1","Italy","Italian English","timeshift +1 di Nickelodeon","2000-01-01T04:03:00","no","no","Sky Famiglia"
"607","Cartoon Network","Italy","Italian English","cartoni animati","2000-01-01T04:03:00","no","no","Sky Famiglia"
"608","Cartoon Network +1","Italy","Italian English","timeshift +1 di Cartoon Network","2000-01-01T04:03:00","no","no","Sky Famiglia"
"609","Boomerang","Italy","Italian English","cartoni animati","2000-01-01T04:03:00","no","no","Sky Famiglia"
"610","Boomerang +1","Italy","Italian English","timeshift +1 di Boomerang","2000-01-01T04:03:00","no","no","Sky Famiglia"
"611","Disney Junior","Italy","Italian English","bambini","2000-01-01T16:09:00","no","no","Sky Famiglia"
"612","Disney Junior +1","Italy","Italian English","timeshift +1 di Disney Junior","2000-01-01T16:09:00","no","no","Sky Famiglia"
"613","Disney Channel","Italy","Italian English","ragazzi","2000-01-01T16:09:00","no","no","Sky Famiglia"
"613","Disney Channel HD","Italy","Italian English","versione HD di Disney Channel","2000-01-01T16:09:00","yes","no","Sky Famiglia + Sky HD"
"614","Disney Channel +1","Italy","Italian English","timeshift +1 di Disney Channel","2000-01-01T16:09:00","no","no","Sky Famiglia"
"615","Disney Channel +2","Italy","Italian English","timeshift +2 di Disney Channel","2000-01-01T16:09:00","no","no","Sky Famiglia"
"616","Disney XD","Italy","Italian English","cartoni e ragazzi","2000-01-01T16:09:00","no","no","Sky Famiglia"
"616","Disney XD HD","Italy","Italian English","versione HD di Disney XD","2000-01-01T16:09:00","yes","no","Sky Famiglia + Sky HD"
"617","Disney XD +1","Italy","Italian English","timeshift +1 di Disney XD","2000-01-01T16:09:00","no","no","Sky Famiglia"
"618","Disney XD +2","Italy","Italian English","timeshift +2 di Disney XD","2000-01-01T16:09:00","no","no","Sky Famiglia"
"619","Disney In English","Italy","English","ragazzi","2000-01-01T04:03:00","no","no","Sky Famiglia"
"620","Planet Kids","Italy","Italian","ragazzi","2000-01-01T16:09:00","no","no","Sky Famiglia"
"621","JimJam","Italy","Italian English","bambini","2000-01-01T04:03:00","no","no","Sky Famiglia"
"622","JimJam +1","Italy","Italian English","timeshift +1 di JimJam","2000-01-01T04:03:00","no","no","Sky Famiglia"
"623","DeA Junior","Italy","Italian","bambini","2000-01-01T04:03:00","no","no","Sky Famiglia"
"624","BabyTV","Italy","Italian English","under 3","2000-01-01T04:03:00","no","no","Sky Famiglia"
"625","Super!","Italy","Italian","cartoni e ragazzi","2000-01-01T04:03:00","no","no","no"
"626","K2","Italy","Italian","cartoni animati","2000-01-01T04:03:00","no","no","no"
"627","Frisbee","Italy","Italian","cartoni animati e ragazzi","2000-01-01T04:03:00","no","no","no"
"673","Cartello promozionale Sky HD","Italy","Italian","promozionale","2000-01-01T04:03:00","no","no","qualsiasi tranne Sky HD"
"673","Disney Channel","Italy","Italian English","ragazzi","2000-01-01T16:09:00","no","no","Sky Famiglia"
"676","Cartello promozionale Sky HD","Italy","Italian","promozionale","2000-01-01T04:03:00","no","no","qualsiasi tranne Sky HD"
"676","Disney XD","Italy","Italian English","cartoni e ragazzi","2000-01-01T16:09:00","no","no","Sky Famiglia"
"690","Al Jazeera Childrens Channel","Qatar","arabo","bambini","2000-01-01T16:09:00","no","no","no"
