"Rank","Mountain Pass","State","Elevation","Route"
"1","Mount Evans Scenic Byway","Colorado","14,160 feet 4316 m","5.0"
"2","Pikes Peak Highway","Colorado","14,115 feet 4302 m","999.0"
"3","Trail Ridge Road","Colorado","12,183 feet 3713 m","34.0"
"4","Independence Pass","Colorado","12,095 feet 3687 m","82.0"
"5","Loveland Pass","Colorado","11,992 feet 3655 m","6.0"
"6","Hoosier Pass","Colorado","11,541 feet 3518 m","9.0"
"7","Slumgullion Pass","Colorado","11,361 feet 3463 m","149.0"
"8","Fremont Pass","Colorado","11,318 feet 3450 m","91.0"
"9","Berthoud Pass","Colorado","11,315 feet 3449 m","40.0"
"10","Monarch Pass","Colorado","11,312 feet 3448 m","50.0"
"11","Eisenhower Tunnel","Colorado","11,158 feet 3401 m","70.0"
"12","Warrior Mountain Summit","Colorado","11,140 feet 3395 m","103.0"
"13","Juniper Pass","Colorado","11,040 feet 3365 m","103.0"
"14","Red Mountain Pass","Colorado","11,018 feet 3358 m","550.0"
"15","Molas Divide","Colorado","10,910 feet 3325 m","550.0"
"16","Spring Creek Pass","Colorado","10,901 feet 3323 m","149.0"
"17","Wolf Creek Pass","Colorado","10,850 feet 3307 m","160.0"
"18","Snowy Range Pass","Wyoming","10,847 feet 3306 m","130.0"
"19","Grand Mesa Summit","Colorado","10,839 feet 3304 m","65.0"
"20","Milner Pass","Colorado","10,758 feet 3279 m","34.0"
"21","Vail Pass","Colorado","10,666 feet 3251 m","70.0"
"22","Coal Bank Pass","Colorado","10,640 feet 3243 m","550.0"
"23","Tennessee Pass","Colorado","10,424 feet 3177 m","24.0"
"24","Cameron Pass","Colorado","10,276 feet 3132 m","14.0"
"25","La Manga Pass","Colorado","10,230 feet 3118 m","17.0"
"26","Lizard Head Pass","Colorado","10,222 feet 3116 m","145.0"
"27","North Pass","Colorado","10,149 feet 3093 m","114.0"
"28","Cumbres Pass","Colorado","10,022 feet 3055 m","17.0"
"29","Kenosha Pass","Colorado","10,001 feet 3048 m","285.0"
"30","Red Hill Pass","Colorado","0 9,993 feet 3046 m","285.0"
"31","Cucharas Pass","Colorado","0 9,941 feet 3030 m","12.0"
"32","Battle Pass","Wyoming","0 9,915 feet 3022 m","70.0"
"33","Bobcat Pass","New Mexico","0 9,833 feet 2997 m","38.0"
"34","Willow Creek Pass","Colorado","0 9,621 feet 2932 m","125.0"
"35","Gore Pass","Colorado","0 9,527 feet 2904 m","134.0"
"36","Wilkerson Pass","Colorado","0 9,507 feet 2898 m","24.0"
"37","Currant Creek Pass","Colorado","0 9,482 feet 2890 m","9.0"
"38","Rabbit Ears Pass","Colorado","0 9,426 feet 2873 m","40.0"
"39","North La Veta Pass","Colorado","0 9,413 feet 2869 m","160.0"
"40","Trout Creek Pass","Colorado","0 9,346 feet 2849 m","24.285"
"41","Battle Mountain Summit","Colorado","0 9,267 feet 2825 m","24.0"
"42","Ute Pass","Colorado","0 9,165 feet 2793 m","24.0"
"43","Wind River Pass","Colorado","0 9,148 feet 2788 m","7.0"
"44","Black Mesa Summit","Colorado","0 9,121 feet 2780 m","92.0"
"45","Palo Flechado Pass","New Mexico","0 9,109 feet 2776 m","64.0"
"46","Hardscrabble Pass","Colorado","0 9,085 feet 2769 m","96.0"
"47","Poncha Pass","Colorado","0 9,010 feet 2746 m","285.0"
"48","Dallas Divide","Colorado","0 8,970 feet 2734 m","62.0"
"49","Muddy Pass","Colorado","0 8,772 feet 2674 m","40.0"
"50","McClure Pass","Colorado","0 8,755 feet 2669 m","133.0"
"51","Blue Mesa Summit","Colorado","0 8,704 feet 2653 m","50.0"
"52","Wondervu Hill","Colorado","0 8,660 feet 2640 m","72.0"
"53","Happy Jack Summit","Wyoming","0 8,640 feet 2633 m","80.0"
"54","U.S. Hill","New Mexico","0 8,562 feet 2610 m","518.0"
"55","Douglas Pass","Colorado","0 8,268 feet 2520 m","139.0"
"56","Cerro Summit","Colorado","0 7,950 feet 2423 m","50.0"
"57","Raton Pass","New Mexico","0 7,834 feet 2388 m","25.0"
"58","Yellowjacket Pass","Colorado","0 7,783 feet 2372 m","160.0"
"59","Glorieta Pass","New Mexico","0 7,557 feet 2303 m","25.0"
"60","South Pass","Wyoming","0 7,550 feet 2301 m","28.0"
"61","Monument Hill","Colorado","0 7,343 feet 2238 m","25.0"
"62","Morton Pass","Wyoming","0 7,173 feet 2186 m","34.1"
"63","Unaweep Divide","Colorado","0 7,048 feet 2148 m","141.0"
"64","Separation Summit","Wyoming","0 7,005 feet 2135 m","80.0"
"65","Robinson Summit","Wyoming","0 6,927 feet 2111 m","80.0"
