"Rank","Name","Point","Played","Draw","Lose","Goal in","Goal loss","Goal diff"
"1","São Paulo","75","38","12","5","66","36","30.0"
"2","Grêmio","72","38","9","8","59","35","24.0"
"3","Cruzeiro","67","38","4","13","59","44","15.0"
"4","Palmeiras","65","38","8","11","55","45","10.0"
"5","Flamengo","64","38","10","10","67","48","19.0"
"6","Internacional","54","38","9","14","48","47","1.0"
"7","Botafogo","53","38","8","15","51","43","8.0"
"8","Goiás","53","38","11","13","57","47","10.0"
"9","Coritiba","53","38","11","13","55","48","7.0"
"10","Vitória","52","38","7","16","48","44","4.0"
"11","Sport","52","38","10","14","48","45","3.0"
"12","Atletico Mineiro","48","38","12","14","50","61","-11.0"
"13","Atletico Paranaense","45","38","9","17","45","54","-9.0"
"14","Fluminense","45","38","12","15","49","48","1.0"
"15","Santos","45","38","12","15","44","53","-11.0"
"16","Náutico","44","38","11","16","44","54","-10.0"
"17","Figueirense","44","38","11","16","49","72","-23.0"
"18","Vasco","40","38","7","20","56","72","-16.0"
"19","Portuguesa","38","38","11","18","48","70","-22.0"
"20","Ipatinga","35","38","7","21","37","66","-29.0"
