"Season","Series","Team","Car No.","Races","Poles","Wins","FLaps","Points","Position"
"2006-01-01T00:00:00","Formula Renault 1.6 Belgium","Thierry Boutsen Racing","2","0","0","0","0","0","NC"
"2007-01-01T00:00:00","Formula Renault 1.6 Belgium","Thierry Boutsen Energy Racing","12","1","0","2","2","127","6th"
"2007-01-01T00:00:00","Formula BMW UK","Räikkönen Robertson Racing","6","0","0","0","0","42","22nd"
"2007-01-01T00:00:00","Formula BMW World Final","Fortec Motorsport","1","0","0","0","0","","21st"
"2008-01-01T00:00:00","Formula BMW Europe","Fortec Motorsport","16","0","0","0","0","64","15th"
"2008-01-01T00:00:00","Formula BMW Pacific","Team Meritus","4","2","2","1","2","","NC†"
"2008-01-01T00:00:00","Formula BMW Americas","Team Autotecnica","2","0","0","0","1","","NC†"
"2008-01-01T00:00:00","Formula BMW World Final","EuroInternational","1","0","0","0","0","","15th"
"2009-01-01T00:00:00","Formula BMW Europe","FMS International","16","0","0","0","0","68","15th"
"2009-01-01T00:00:00","Formula BMW Europe","Motaworld Racing","16","0","0","0","0","68","15th"
"2009-01-01T00:00:00","Formula BMW Europe","Eifelland Racing","16","0","0","0","0","68","15th"
"2009-01-01T00:00:00","European F3 Open","Emiliodevillota.com","8","0","0","0","0","14","16th"
