"Player","Pos.","From","School/Country","Rebs","Asts"
"James Bailey Category:Articles with hCards","F/C","1987-01-01T00:00:00","Rutgers","210","42"
"Toby Bailey Category:Articles with hCards","G","1999-01-01T00:00:00","UCLA","126","43"
"Marcus Banks Category:Articles with hCards","PG","2006-01-01T00:00:00","UNLV","58","85"
"Mike Bantom Category:Articles with hCards","F/C","1973-01-01T00:00:00","Saint Joseph's","1,095","325"
"Leandro Barbosa Category:Articles with hCards","G","2003-01-01T00:00:00","Brazil","1,098","1,208"
"Charles Barkley Category:Articles with hCards","F","1992-01-01T00:00:00","Auburn","3,232","1,219"
"Matt Barnes Category:Articles with hCards","F","2008-01-01T00:00:00","UCLA","421","212"
"Andre Barrett Category:Articles with hCards","PG","2006-01-01T00:00:00","Seton Hall","3","2"
"Earl Barron Category:Articles with hCards","C","2010-01-01T00:00:00","Memphis","40","4"
"Kenny Battle Category:Articles with hCards","SF","1989-01-01T00:00:00","Northern Illinois","177","53"
"Michael Beasley Category:Articles with hCards","F","2012-01-01T00:00:00","Kansas State","282","111"
"William Bedford Category:Articles with hCards","C","1986-01-01T00:00:00","Memphis","246","57"
"Charlie Bell Category:Articles with hCards","G","2001-01-01T00:00:00","Michigan State","4","2"
"Raja Bell Category:Articles with hCards","SG","2005-01-01T00:00:00","Florida International","842","600"
"Mario Bennett Category:Articles with hCards","F","1995-01-01T00:00:00","Arizona State","49","6"
"Ed Biedenbach Category:Articles with hCards","G","1968-01-01T00:00:00","UNC-Asheville","2","3"
"Eric Bledsoe Category:Articles with hCards","PG","2013-01-01T00:00:00","Kentucky","12","12"
"Corie Blount Category:Articles with hCards","PF","1999-01-01T00:00:00","Cincinnati","198","18"
"Dexter Boney Category:Articles with hCards","G","1997-01-01T00:00:00","UNLV","6","0"
"Dudley Bradley Category:Articles with hCards","F/G","1981-01-01T00:00:00","North Carolina","87","80"
"Mike Bratz Category:Articles with hCards","PG","1977-01-01T00:00:00","Stanford","423","525"
"Aaron Brooks Category:Articles with hCards","PG","2011-01-01T00:00:00","Oregon","27","104"
"Chucky Brown Category:Articles with hCards","SF","1996-01-01T00:00:00","North Carolina State","16","4"
"Dee Brown Category:Articles with hCards","PG","2008-01-01T00:00:00","Illinois","1","3"
"Gerald Brown Category:Articles with hCards","G","1999-01-01T00:00:00","Pepperdine","22","31"
"Mike Brown Category:Articles with hCards","C/F","1997-01-01T00:00:00","George Washington","25","5"
"Randy Brown Category:Articles with hCards","G","2002-01-01T00:00:00","New Mexico State","26","35"
"Shannon Brown Category:Articles with hCards","SG","2011-01-01T00:00:00","Michigan State","306","177"
"Mark Bryant Category:Articles with hCards","F/C","1996-01-01T00:00:00","Seton Hall","456","93"
"Jud Buechler Category:Articles with hCards","SF","2001-01-01T00:00:00","Arizona","8","3"
"Pat Burke Category:Articles with hCards","C","2005-01-01T00:00:00","Auburn","120","21"
"Steve Burtt Category:Articles with hCards","PG","1991-01-01T00:00:00","Iona","34","59"
"Don Buse Category:Articles with hCards","PG","1977-01-01T00:00:00","Evansville","699","1,067"
"Marty Byrnes Category:Articles with hCards","F","1978-01-01T00:00:00","Syracuse","97","61"
