"Year","Player","Country","Earnings ( $ )","Most wins"
"2012-01-01T00:00:00","Inbee Park","South Korea","2,287,080","4 - Stacy Lewis"
"2011-01-01T00:00:00","Yani Tseng","Taiwan","2,921,713","7 - Yani Tseng"
"2010-01-01T00:00:00","Na Yeon Choi","South Korea","1,871,166","5 - Ai Miyazato"
"2009-01-01T00:00:00","Jiyai Shin","South Korea","1,807,334","3 - Jiyai Shin , Lorena Ochoa"
"2008-01-01T00:00:00","Lorena Ochoa","Mexico","2,754,660","7 - Lorena Ochoa"
"2007-01-01T00:00:00","Lorena Ochoa","Mexico","4,364,994","8 - Lorena Ochoa"
"2006-01-01T00:00:00","Lorena Ochoa","Mexico","2,592,872","6 - Lorena Ochoa"
"2005-01-01T00:00:00","Annika Sörenstam","Sweden","2,588,240","10 - Annika Sörenstam"
"2004-01-01T00:00:00","Annika Sörenstam","Sweden","2,544,707","8 - Annika Sörenstam"
"2003-01-01T00:00:00","Annika Sörenstam","Sweden","2,029,506","6 - Annika Sörenstam"
"2002-01-01T00:00:00","Annika Sörenstam","Sweden","2,863,904","11 - Annika Sörenstam"
"2001-01-01T00:00:00","Annika Sörenstam","Sweden","2,105,868","8 - Annika Sörenstam"
"2000-01-01T00:00:00","Karrie Webb","Australia","1,876,853","7 - Karrie Webb"
"1999-01-01T00:00:00","Karrie Webb","Australia","1,591,959","6 - Karrie Webb"
"1998-01-01T00:00:00","Annika Sörenstam","Sweden","1,092,748","4 - Annika Sörenstam, Se Ri Pak"
"1997-01-01T00:00:00","Annika Sörenstam","Sweden","1,236,789","6 - Annika Sörenstam"
"1996-01-01T00:00:00","Karrie Webb","Australia","1,002,000","4 - Laura Davies , Dottie Pepper , Karrie Webb"
"1995-01-01T00:00:00","Annika Sörenstam","Sweden","666,533","3 - Annika Sörenstam"
"1994-01-01T00:00:00","Laura Davies","England","687,201","4 - Beth Daniel"
"1993-01-01T00:00:00","Betsy King","United States","595,992","3 - Brandie Burton"
"1992-01-01T00:00:00","Dottie Mochrie","United States","693,335","4 - Dottie Mochrie"
"1991-01-01T00:00:00","Pat Bradley","United States","763,118","4 - Pat Bradley, Meg Mallon"
"1990-01-01T00:00:00","Beth Daniel","United States","863,578","7 - Beth Daniel"
"1989-01-01T00:00:00","Betsy King","United States","654,132","6 - Betsy King"
"1988-01-01T00:00:00","Sherri Turner","United States","350,851","3 - 5 players"
"1987-01-01T00:00:00","Ayako Okamoto","Japan","466,034","5 - Jane Geddes"
"1986-01-01T00:00:00","Pat Bradley","United States","492,021","5 - Pat Bradley"
"1985-01-01T00:00:00","Nancy Lopez","United States","416,472","5 - Nancy Lopez"
"1984-01-01T00:00:00","Betsy King","United States","266,771","4 - Patty Sheehan , Amy Alcott"
"1983-01-01T00:00:00","JoAnne Carner","United States","291,404","4 - Pat Bradley, Patty Sheehan"
"1982-01-01T00:00:00","JoAnne Carner","United States","310,400","5 - JoAnne Carner, Beth Daniel"
"1981-01-01T00:00:00","Beth Daniel","United States","206,998","5 - Donna Caponi"
"1980-01-01T00:00:00","Beth Daniel","United States","231,000","5 - Donna Caponi, JoAnne Carner"
"1979-01-01T00:00:00","Nancy Lopez","United States","197,489","8 - Nancy Lopez"
"1978-01-01T00:00:00","Nancy Lopez","United States","189,814","9 - Nancy Lopez"
"1977-01-01T00:00:00","Judy Rankin","United States","122,890","5 - Judy Rankin, Debbie Austin"
"1976-01-01T00:00:00","Judy Rankin","United States","150,734","6 - Judy Rankin"
"1975-01-01T00:00:00","Sandra Palmer","United States","76,374","4 - Carol Mann , Sandra Haynie"
"1974-01-01T00:00:00","JoAnne Carner","United States","87,094","6 - JoAnne Carner, Sandra Haynie"
"1973-01-01T00:00:00","Kathy Whitworth","United States","82,864","7 - Kathy Whitworth"
"1972-01-01T00:00:00","Kathy Whitworth","United States","65,063","5 - Kathy Whitworth, Jane Blalock"
"1971-01-01T00:00:00","Kathy Whitworth","United States","41,181","5 - Kathy Whitworth"
"1970-01-01T00:00:00","Kathy Whitworth","United States","30,235","4 - Shirley Englehorn"
"1969-01-01T00:00:00","Carol Mann","United States","49,152","8 - Carol Mann"
"1968-01-01T00:00:00","Kathy Whitworth","United States","48,379","10 - Carol Mann, Kathy Whitworth"
"1967-01-01T00:00:00","Kathy Whitworth","United States","32,937","8 - Kathy Whitworth"
"1966-01-01T00:00:00","Kathy Whitworth","United States","33,517","9 - Kathy Whitworth"
"1965-01-01T00:00:00","Kathy Whitworth","United States","28,658","8 - Kathy Whitworth"
"1964-01-01T00:00:00","Mickey Wright","United States","29,800","11 - Mickey Wright"
"1963-01-01T00:00:00","Mickey Wright","United States","31,269","13 - Mickey Wright"
"1962-01-01T00:00:00","Mickey Wright","United States","21,641","10 - Mickey Wright"
"1961-01-01T00:00:00","Mickey Wright","United States","22,236","10 - Mickey Wright"
"1960-01-01T00:00:00","Louise Suggs","United States","16,892","6 - Mickey Wright"
"1959-01-01T00:00:00","Betsy Rawls","United States","26,774","10 - Betsy Rawls"
"1958-01-01T00:00:00","Beverly Hanson","United States","12,639","5 - Mickey Wright"
"1957-01-01T00:00:00","Patty Berg","United States","16,272","5 - Betsy Rawls, Patty Berg"
"1956-01-01T00:00:00","Marlene Hagge","United States","20,235","8 - Marlene Hagge"
"1955-01-01T00:00:00","Patty Berg","United States","16,492","6 - Patty Berg"
"1954-01-01T00:00:00","Patty Berg","United States","16,011","5 - Louise Suggs , Babe Zaharias"
"1953-01-01T00:00:00","Louise Suggs","United States","19,816","8 - Louise Suggs"
"1952-01-01T00:00:00","Betsy Rawls","United States","14,505","8 - Betsy Rawls"
"1951-01-01T00:00:00","Babe Zaharias","United States","15,087","7 - Babe Zaharias"
"1950-01-01T00:00:00","Babe Zaharias","United States","14,800","6 - Babe Zaharias"
