"Year","Entrant","Chassis","Engine","Points"
"1977-01-01T00:00:00","Team Surtees","Surtees TS19","Cosworth V8","5"
"1977-01-01T00:00:00","Theodore Racing Hong Kong","Ensign N177","Cosworth V8","5"
"1978-01-01T00:00:00","Marlboro Team McLaren","McLaren M26","Cosworth V8","8"
"1979-01-01T00:00:00","Löwenbräu Team McLaren","McLaren M28","Cosworth V8","0"
"1979-01-01T00:00:00","Marlboro Team McLaren","McLaren M28","Cosworth V8","0"
"1979-01-01T00:00:00","Marlboro Team McLaren","McLaren M26","Cosworth V8","0"
"1979-01-01T00:00:00","Marlboro Team McLaren","McLaren M29","Cosworth V8","0"
"1981-01-01T00:00:00","Theodore Racing Team","Theodore TY01","Cosworth V8","1"
"1981-01-01T00:00:00","Equipe Talbot Gitanes","Ligier JS17","Matra V12","1"
"1982-01-01T00:00:00","Scuderia Ferrari","Ferrari 126C2","Ferrari V6 t/c","25"
"1983-01-01T00:00:00","Scuderia Ferrari","Ferrari 126C2/B","Ferrari V6 t/c","40"
"1983-01-01T00:00:00","Scuderia Ferrari","Ferrari 126C3","Ferrari V6 t/c","40"
"1984-01-01T00:00:00","Equipe Renault Elf","Renault RE50","Renault V6 t/c","11"
"1985-01-01T00:00:00","Equipe Renault Elf","Renault RE60","Renault V6 t/c","11"
"1985-01-01T00:00:00","Equipe Renault Elf","Renault RE60B","Renault V6 t/c","11"
"1986-01-01T00:00:00","Team Haas  Ltd.","Lola THL1","Hart Str-4 t/c","2"
"1986-01-01T00:00:00","Team Haas  Ltd.","Lola THL2","Cosworth V6 t/c","2"
