"Year","Oscars","Noms","Wins","Film","Leading Actor","Leading Actress","Supporting Actor","Supporting Actress"
"1936-01-01T00:00:00","9","6","0","My Man Godfrey","William Powell","Carole Lombard","Mischa Auer","Alice Brady"
"1942-01-01T00:00:00","15","12","6","Mrs. Miniver","Walter Pidgeon","Greer Garson","Henry Travers","Teresa Wright May Whitty"
"1943-01-01T00:00:00","16","8","1","For Whom the Bell Tolls","Gary Cooper","Ingrid Bergman","Akim Tamiroff","Katina Paxinou"
"1948-01-01T00:00:00","20","12","1","Johnny Belinda","Lew Ayres","Jane Wyman","Charles Bickford","Agnes Moorehead"
"1950-01-01T00:00:00","23","11","3","Sunset Boulevard","William Holden","Gloria Swanson","Erich von Stroheim","Nancy Olson"
"1951-01-01T00:00:00","24","12","3","A Streetcar Named Desire","Marlon Brando","Vivien Leigh","Karl Malden","Kim Hunter"
"1953-01-01T00:00:00","26","13","8","From Here to Eternity","Montgomery Clift Burt Lancaster","Deborah Kerr","Frank Sinatra","Donna Reed"
"1966-01-01T00:00:00","39","13","5","Who's Afraid of Virginia Woolf?","Richard Burton","Elizabeth Taylor","George Segal","Sandy Dennis"
"1967-01-01T00:00:00","40","10","2","Bonnie and Clyde","Warren Beatty","Faye Dunaway","Gene Hackman Michael J. Pollard","Estelle Parsons"
"1967-01-01T00:00:00","40","10","2","Guess Who's Coming to Dinner","Spencer Tracy","Katharine Hepburn","Cecil Kellaway","Beah Richards"
"1976-01-01T00:00:00","49","10","4","Network","Peter Finch William Holden","Faye Dunaway","Ned Beatty","Beatrice Straight"
"1978-01-01T00:00:00","51","8","3","Coming Home","Jon Voight","Jane Fonda","Bruce Dern","Penelope Milford"
"1981-01-01T00:00:00","54","12","3","Reds","Warren Beatty","Diane Keaton","Jack Nicholson","Maureen Stapleton"
