"Model","Build year","Top speed (In operation) (km/h)","Power output (kW)","Builder (Family)","Total production"
"AC4000","1996","120","4000","Zhuzhou","1"
"DJ ""Jiufang""","2000","200","4800","Zhuzhou","2"
"DJ1","2000-2001","120","6400","Zhuzhou Siemens , Germany","20"
"DJ2 ""Olympic Stars""","2001","200","4800","Zhuzhou","3"
"Tiansuo or ""Sky Shuttle""","2003","200","4800","Datong","1"
"HXD1","2006-2010","120","9600","Zhuzhou Siemens , Germany","220"
"HXD1.1","2012-","120","9600","Zhuzhou","50"
"HXD1.6","2012","120","9600","Ziyang","1"
"HXD1.7","2013-","120","14400","Zhuzhou Bombardier","2"
"HXD1B","2009-2011","120","9600","Zhuzhou","650 ordered"
"HXD1C","2009 -","120","7200","Zhuzhou Ziyang","1041 ordered"
"HXD1D","2012 -","160","7200","Zhuzhou","2"
"HXD2","2006-2008","120","10000","Alstom , France Datong","180"
"HXD2.1","2012","120","10000","Datong","1"
"HXD2.7","2012","120","10000","Datong","2"
"HXD2B","2009-2011","120","9600","Alstom , France Datong","500 ordered"
"HXD2C","2010-2011","120","7200","Datong","220 ordered"
"HXD3","2003-2010","120","7200","Toshiba Dalian Datong Beijing Feb. 7th","1080 ordered"
"HXD3B","2009-2011","120","9600","Dalian Bombardier","500 ordered"
"HXD3C","2010 -","120","7200","Dalian","1019 ordered"
"HXD3D","2012 -","160","7200","Dalian","2"
