"Series #","Season #","Title","Directed by","Written by","Original air date","Production code","U.S. viewers (million)"
"10","1","""Samson and Delilah""","David Nutter","Josh Friedman","2008-09-08T00:00:00","3T7301","6.34"
"11","2","""Automatic for the People""","Jeffrey Hunt","Natalie Chaidez","2000-09-15T00:00:00","3T7302","5.49"
"12","3","""The Mousetrap""","Bill Eagles","John Wirth","2000-09-22T00:00:00","3T7305","5.82"
"13","4","""Allison from Palmdale""","Charles Beeson","Toni Graphia","2000-09-29T00:00:00","3T7304","5.53"
"14","5","""Goodbye to All That""","Bryan Spicer","Ashley Edward Miller & Zack Stentz","2008-10-06T00:00:00","3T7303","5.61"
"15","6","""The Tower Is Tall but the Fall Is Short""","Tawnia McKiernan","Denise The","2000-10-20T00:00:00","3T7308","5.34"
"16","7","""Brothers of Nablus""","Milan Cheylov","Ian Goldberg","2008-11-03T00:00:00","3T7306","5.16"
"17","8","""Mr. Ferguson Is Ill Today""","Michael Nankin","Daniel T. Thomsen","2000-11-10T00:00:00","3T7311","5.19"
"18","9","""Complications""","Steven DePaul","Ian Goldberg & John Wirth","2000-11-17T00:00:00","3T7309","5.31"
"19","10","""Strange Things Happen at the One Two Point""","Scott Peters","Ashley Edward Miller & Zack Stentz","2000-11-24T00:00:00","3T7310","4.62"
"20","11",""" Self Made Man ""","Holly Dale","Toni Graphia","2008-12-01T00:00:00","3T7312","5.83"
"21","12","""Alpine Fields""","Charles Beeson & Bryan Spicer","John Enbom","2008-12-08T00:00:00","3T7307","5.21"
"22","13","""Earthlings Welcome Here""","Felix Enríquez Alcalá","Natalie Chaidez","2000-12-15T00:00:00","3T7313","5.29"
"23","14","""The Good Wound""","Jeff Woolnough","Ashley Edward Miller & Zack Stentz","2000-02-13T00:00:00","3T7314","3.52"
"24","15","""Desert Cantos""","J. Miller Tobin","Ian Goldberg & John Wirth","2000-02-20T00:00:00","3T7315","3.84"
"25","16","""Some Must Watch, While Some Must Sleep""","Scott Lautanen","Natalie Chaidez & Denise The","2000-02-27T00:00:00","3T7316","3.42"
"26","17","""Ourselves Alone""","Jeff Woolnough","Toni Graphia & Daniel T. Thomsen","2009-03-06T00:00:00","3T7317","2.96"
"27","18","""Today Is the Day, Part 1""","Guy Norman Bee","Ashley Edward Miller & Zack Stentz","2000-03-13T00:00:00","3T7318","3.5"
"28","19","""Today Is the Day, Part 2""","Guy Norman Bee","Ashley Edward Miller & Zack Stentz","2000-03-20T00:00:00","3T7321","3.65"
"29","20","""To the Lighthouse""","Guy Ferland","Natalie Chaidez","2000-03-27T00:00:00","3T7319","3.83"
"30","21","""Adam Raised a Cain""","Charles Beeson","Toni Graphia","2009-04-03T00:00:00","3T7320","3.35"
