"Draw","Dancers","Dance Styles","Place","Points"
"1","Denise Biellmann & Sven Ninnemann","Paso Doble and Swing","16","0"
"2","Mariya Sittel & Vladislav Borodinov","Rumba and Paso Doble","7","72"
"3","Alexandra Matteman & Redmond Valk","Cha-Cha-Cha and Rumba","12","34"
"4","Camilla Dallerup & Brendan Cole","Rumba and Freestyle","15","18"
"5","Kelly & Andy Kainz","Jive and Paso Doble","5","74"
"6","Wolke Hegenbarth & Oliver Seefeldt","Samba dance and Freestyle","8","59"
"7","Ourania Kolliou & Spiros Pavlidis","Jive and Sirtaki","13","31"
"8","Gabrielė Valiukaitė & Gintaras Svistunavičius","Paso Doble and Traditional Lithuanian Folk Dance","11","35"
"9","Amagoya Benlloch & Abraham Martinez","Cha-Cha-Cha and Paso Doble","10","38"
"10","Nicola Byrne & Mick Donegan","Jive and Fandango","3","95"
"11","Katarzyna Cichopek & Marcin Hakiel","Cha-Cha-Cha and Showdance","4","84"
"12","Mette Skou Elkjær & David Jørgensen","Rumba and Showdance","9","38"
"13","Sónia Araújo & Ricardo Silva","Jive and Tango","5","74"
"14","Yulia Okropiridze & Illya Sydorenko","Quickstep and Showdance","2","121"
"15","Cecilia Ehrling & Martin Lidberg","Paso Doble and Disco Fusion","14","23"
"16","Katja Koukkula & Jussi Väänänen","Rumba and Paso Doble","1","132"
