"Player","Home runs","Season total","Year","Team"
"Wes Ferrell Category:Articles with hCards","9","9","1931-01-01T00:00:00","Cleveland Indians"
"Jack Stivetts Category:Articles with hCards","7","7","1890-01-01T00:00:00","St. Louis Browns"
"Wes Ferrell Category:Articles with hCards","7","7","1933-01-01T00:00:00","Cleveland Indians"
"Bob Lemon Category:Articles with hCards","7","7","1949-01-01T00:00:00","Cleveland Indians"
"Don Newcombe Category:Articles with hCards","7","7","1955-01-01T00:00:00","Brooklyn Dodgers"
"Don Drysdale Category:Articles with hCards","7","7","1958-01-01T00:00:00","Los Angeles Dodgers"
"Don Drysdale Category:Articles with hCards","7","7","1965-01-01T00:00:00","Los Angeles Dodgers"
"Earl Wilson Category:Articles with hCards","7","7","1968-01-01T00:00:00","Detroit Tigers"
"Mike Hampton Category:Articles with hCards","7","7","2001-01-01T00:00:00","Colorado Rockies"
"John Clarkson Category:Articles with hCards","6","6","1887-01-01T00:00:00","Chicago White Stockings"
"Bill Hutchinson Category:Articles with hCards","6","6","1894-01-01T00:00:00","Chicago Colts"
"Hal Schumacher Category:Articles with hCards","6","6","1934-01-01T00:00:00","New York Giants"
"Wes Ferrell Category:Articles with hCards","6","7","1935-01-01T00:00:00","Boston Red Sox"
"Jack Harshman Category:Articles with hCards","6","6","1956-01-01T00:00:00","Chicago White Sox"
"Jack Harshman Category:Articles with hCards","6","6","1958-01-01T00:00:00","Baltimore Orioles"
"Earl Wilson Category:Articles with hCards","6","6","1965-01-01T00:00:00","Boston Red Sox"
"Earl Wilson Category:Articles with hCards","6","7","1965-01-01T00:00:00","Boston Red Sox / Detroit Tigers"
"Ferguson Jenkins Category:Articles with hCards","6","6","1971-01-01T00:00:00","Chicago Cubs"
"Sonny Siebert Category:Articles with hCards","6","6","1971-01-01T00:00:00","Boston Red Sox"
"Rick Wise Category:Articles with hCards","6","6","1971-01-01T00:00:00","Philadelphia Phillies"
"Carlos Zambrano Category:Articles with hCards §","6","6","2006-01-01T00:00:00","Chicago Cubs"
