"Rank","Movie","Year","Studio(s)","Second Week Nett. Gross"
"1","3 Idiots","2009-01-01T00:00:00","Vinod Chopra Productions","56,24,00,000"
"2","Yeh Jawaani Hai Deewani","2013-01-01T00:00:00","Dharma Productions","44,78,00,000"
"3","Chennai Express","2013-01-01T00:00:00","Red Chillies Entertainment","43,85,00,000"
"4","Dabangg 2","2012-01-01T00:00:00","Arbaaz Khan Productions","36,51,00,000"
"5","Dabangg","2010-01-01T00:00:00","Arbaaz Khan Productions","35,97,00,000"
"6","Rowdy Rathore","2012-01-01T00:00:00","UTV Motion Pictures","33,15,00,000"
"7","Ready","2008-01-01T00:00:00","T-Series","32,52,00,000"
"8","Golmaal 3","2010-01-01T00:00:00","Shree Ashtavinayak Cine Vision Ltd","31,92,00,000"
"9","Housefull 2","2012-01-01T00:00:00","Nadiadwala Grandson Entertainment","31,24,00,000"
"10","Ek Tha Tiger","2012-01-01T00:00:00","Yash Raj Films","29,49,00,000"
