"No. in series","Title","Directed by","Written by","Original air date","Production code","U.S. viewers (million)"
"1",""" Pilot ""","Marcos Siega","Teleplay by: Kevin Williamson & Julie Plec","2000-09-10T00:00:00","296766","4.91"
"2",""" The Night of the Comet ""","Marcos Siega","Kevin Williamson & Julie Plec","2000-09-17T00:00:00","2J5001","3.78"
"3",""" Friday Night Bites ""","John Dahl","Barbie Kligman & Bryan M. Holdman","2000-09-24T00:00:00","2J5002","3.81"
"4","""Family Ties""","Guy Ferland","Andrew Kreisberg & Brian Young","2009-10-01T00:00:00","2J5003","3.53"
"5",""" You're Undead to Me ""","Kevin Bray","Sean Reycraft & Gabrielle Stanton","2009-10-08T00:00:00","2J5004","3.52"
"6","""Lost Girls""","Marcos Siega","Kevin Williamson & Julie Plec","2000-10-15T00:00:00","2J5005","3.88"
"8","""162 Candles""","Rick Bota","Barbie Kligman & Gabrielle Stanton","2009-11-05T00:00:00","2J5007","4.09"
"9","""History Repeating""","Marcos Siega","Bryan M. Holdman & Brian Young","2000-11-12T00:00:00","2J5008","4.1"
"10","""The Turning Point""","J. Miller Tobin","Kevin Williamson & Julie Plec & Barbie Kligman","2000-11-19T00:00:00","2J5009","3.57"
"12","""Unpleasantville""","Liz Friedlander","Barbie Kligman & Brian Young","2000-01-28T00:00:00","2J5011","3.71"
"13","""Children of the Damned""","Marcos Siega","Kevin Williamson & Julie Plec","2010-02-04T00:00:00","2J5012","3.99"
"14","""Fool Me Once""","Marcos Siega","Brett Conrad","2000-02-11T00:00:00","2J5013","3.51"
"15","""A Few Good Men""","Joshua Butler","Brian Young","2000-03-25T00:00:00","2J5014","3.33"
"16","""There Goes the Neighborhood""","Kevin Bray","Bryan Oh & Andrew Chambliss","2010-04-01T00:00:00","2J5015","2.8"
"17","""Let the Right One In""","Dennis Smith","Story by: Brian Young Teleplay by: Julie Plec","2010-04-08T00:00:00","2J5016","3.48"
"18","""Under Control""","David Von Ancken","Barbie Kligman & Andrew Chambliss","2000-04-15T00:00:00","2J5017","3.15"
"19","""Miss Mystic Falls""","Marcos Siega","Bryan Oh & Caroline Dries","2000-04-22T00:00:00","2J5018","3.33"
"20","""Blood Brothers""","Liz Friedlander","Kevin Williamson & Julie Plec","2000-04-29T00:00:00","2J5019","3.39"
"21","""Isobel""","J. Miller Tobin","Caroline Dries & Brian Young","2010-05-06T00:00:00","2J5020","3.31"
