"Country","Player name","Period","Position","Matches","Goals"
"Albania","Elton Çeno","1998-1999","Midfielder","0","0"
"Albania","Albert Duro","1998-2001","Defender","27","0"
"Argentina","Pablo Brandán","2010-2012","Midfielder / Defender","43","0"
"Armenia","Arman Karamyan","2010","Striker","13","0"
"Armenia","Artavazd Karamyan","2010","Midfielder","0","0"
"Angola","Carlos Fernandes","2006","Goalkeeper","22","0"
"Belarus","Vasil Khamutowski","2003-2006","Goalkeeper","50","0"
"Bolivia","Ricardo Pedriel","2008-2009","Forward","0","0"
"Bosnia and Herzegovina","Zoran Novaković","1999-2000","Midfielder","0","0"
"Bosnia and Herzegovina","Boris Keča","2004","Defender","0","0"
"Brazil","Andrey","2007","Goalkeeper","0","0"
"Brazil","Élton","2007","Midfielder","0","0"
"Brazil","Arthuro","2008","Forward","0","0"
"Brazil","Andre Nunes","2008","Forward","0","0"
"Brazil","Éder Bonfim","2010-2011","Defender","19","0"
"Brazil","Ricardo Vilana","2010-2011","Midfielder","16","0"
"Brazil","Maicon","2011","Forward","0","0"
"Brazil","Leandro Tatu","2011-2012 ; 2013-","Forward","37","0"
"Brazil","Gabriel Machado","2012","Forward","0","0"
"Brazil","Adi Rocha","2012-2013","Forward","16","0"
"Bulgaria","Krum Bibishkov","2009-2010","Forward","0","0"
"Bulgaria","Zhivko Zhelev","2010","Defender","16","0"
"Bulgaria","Yordan Todorov","2010","Defender","0","0"
"Bulgaria","Stanislav Angelov","2010-2011","Midfielder / Defender","0","0"
"Bulgaria","Valentin Iliev","2011-2012","Defender","26","0"
"Cameroon","Nana Falemi","2000-2005","Midfielder","94","0"
"Cape Verde","Fernando Varela","2013-","Defender","0","0"
"Central African Republic","Habib Habibou","2008","Forward","0","0"
"Colombia","Róbinson Zapata","2007-2010","Goalkeeper","85","0"
"Colombia","Pepe Moreno","2008 ; 2010","Forward","21","0"
"Colombia","Dayro Moreno","2008-2010","Midfielder","43","12"
"Colombia","Juan Carlos Toja","2008-2010","Midfielder","51","0"
"Cyprus","Stelios Parpas","2010","Defender","13","0"
"France","Cyril Thereau","2006-2007","Forward","17","10"
"Greece","Pantelis Kapetanos","2008-2011 ; 2013-","Forward","65","27"
"Israel","Klemi Saban","2006-2007","Defender","0","0"
"Italy","Federico Piovaccari","2013-","Forward","0","0"
"Macedonia","Daniel Georgievski","2012-","Defender","19","0"
"Montenegro","Stefan Nikolić","2011-2012 ; 2012-","Forward","44","0"
"Nigeria","Ifeanyi Emeghara","2007-2011 ; 2011","Defender","42","0"
"Nigeria","Dino Eze","2008","Midfielder","0","0"
"Peru","Andres Mendoza","2008","Forward","15","0"
"Poland","Paweł Golański","2007-2010","Defender","58","0"
"Poland","Rafał Grzelak","2009-2010","Midfielder","0","0"
"Poland","Łukasz Szukała","2012-","Defender","20","0"
"Portugal","Tiago Gomes","2008-2009","Midfielder","24","0"
"Portugal","António Semedo","2008-2009","Winger","24","0"
"Portugal","Miguel Tininho","2009","Defender","0","0"
"Portugal","Geraldo Alves","2010-2012","Defender","54","0"
"Senegal","Gora Tall","2010","Defender","0","0"
"Serbia","Novak Martinović","2010-2012","Defender","32","0"
