"Year","League","Reg. Season","Playoffs","US Open Cup","Avg. Attendance"
"1994-01-01T00:00:00","APSL","1st","Semifinals","Did not enter","6347"
"1995-01-01T00:00:00","A-League","2nd","Champion","Semifinals","4571"
"1996-01-01T00:00:00","A-League","3rd","Champion","Quarterfinals","3750"
"1997-01-01T00:00:00","USISL A-League","2nd, Pacific","Division Finals","Did not qualify","2873"
"1998-01-01T00:00:00","USISL A-League","2nd, Pacific","Conference Semifinals","Did not qualify","2902"
"1999-01-01T00:00:00","USL A-League","3rd, Pacific","Conference Semifinals","3rd Round","2243"
"2000-01-01T00:00:00","USL A-League","1st, Pacific","Conference Semifinals","2nd Round","2143"
"2001-01-01T00:00:00","USL A-League","5th, Western","Did not qualify","2nd Round","1885"
"2002-01-01T00:00:00","USL A-League","1st, Pacific","Conference Semifinals","3rd Round","4087"
"2003-01-01T00:00:00","USL A-League","1st, Pacific","Conference Finals","Quarterfinals","3357"
"2004-01-01T00:00:00","USL A-League","4th, Western","Final","Did not qualify","2874"
"2005-01-01T00:00:00","USL First Division","4th","Champion","3rd Round","2885"
"2006-01-01T00:00:00","USL First Division","7th","Did not qualify","3rd Round","3693"
"2007-01-01T00:00:00","USL First Division","1st","Champion","Semifinals","3396"
