"Name","Position","League Apps","League Goals","FA Cup Apps","FA Cup Goals","League Cup Apps","League Cup Goals","FLT Apps","FLT Goals","Total Apps","Total Goals"
"Simon Baldry","MF","10","2","0","0","0","0","1","0","11","2"
"Gary Barnett","MF","1","0","0","0","0","0","0","0","1","0"
"Chris Billy","MF","34","3","3","0","4","0","7","0","48","3"
"Kevin Blackwell","GK","0","0","0","0","0","0","0","0","0","0"
"Andy Booth","FW","18","9","1","0","2","0","7","1","28","10"
"Darren Bullock","MF","20","4","0","0","0","0","6","1","26","5"
"Gary Clayton","MF","15","1","0","0","0","0","0","0","15","1"
"Simon Collins","DF","1","0","0","0","0","0","0","0","1","0"
"Tom Cowan","DF","10","0","0","0","0","0","1","0","11","0"
"David Currie","FW","7","1","0","0","0","0","1","0","8","1"
"Iain Dunn","FW","20","6","1","0","4","3","3","4","28","13"
"Jon Dyson","DF","19","0","1","0","3","0","4","0","27","0"
"Steve Francis","GK","46","0","3","0","4","0","8","0","61","0"
"Steve Harkness","DF","5","0","0","0","0","0","1","0","6","0"
"Stuart Hicks","DF","20","1","3","0","3","0","1","0","27","1"
"Peter Jackson","DF","30","0","3","1","3","0","7","1","43","2"
"Ronnie Jepson","FW","19","5","0","0","0","0","0","0","19","5"
"Richard Logan","MF","9","0","0","0","0","0","6","1","15","1"
"Chris Marsden","MF","2","0","0","0","1","0","1","0","4","0"
"Graham Mitchell","DF","20","0","3","0","1","0","5","0","29","0"
"Iffy Onuora","FW","12","6","1","0","2","0","2","0","17","6"
"Iwan Roberts","FW","14","4","2","0","2","1","0","0","18","5"
"Phil Robinson","MF","39","1","2","0","3","0","6","0","50","1"
"Ronnie Robinson","DF","2","0","0","0","0","0","0","0","2","0"
"Rodney Rowe","FW","7","1","3","1","0","0","3","1","13","3"
"Pat Scully","DF","11","0","0","0","0","0","1","0","12","0"
"Phil Starbuck","FW","45","12","1","0","3","0","7","4","56","16"
"Simon Trevitt","DF","31","1","3","0","4","0","4","0","42","1"
"Richard Ward","MF","0","0","0","0","1","0","0","0","1","0"
"Mark Wells","MF","21","4","3","0","4","0","2","0","30","4"
"Jon Whitney","DF","14","0","0","0","0","0","4","0","18","0"
"Andy Williams","MF","4","0","0","0","0","0","0","0","4","0"
