"Year","Indians admitted","Pakistanis admitted","Sri Lankans admitted","Bangladeshis admitted","Nepalis admitted"
"2000-01-01T00:00:00","26,122","14,201","5,849","2,715","247"
"2001-01-01T00:00:00","27,901","15,353","5,520","3,393","273"
"2002-01-01T00:00:00","28,838","14,173","4,968","2,615","418"
"2003-01-01T00:00:00","24,595","12,351","4,448","1,896","440"
"2004-01-01T00:00:00","25,573","12,793","4,134","3,374","594"
"2005-01-01T00:00:00","22,141","13,575","4,690","3,940","714"
"2006-01-01T00:00:00","30,746","12,329","4,490","3,838","640"
"2007-01-01T00:00:00","26,047","9,545","3,934","2,735","564"
"2008-01-01T00:00:00","24,548","8,051","4,508","2,716","639"
"2009-01-01T00:00:00","26,117","6,213","4,270","4,270","627"
"2010-01-01T00:00:00","30,252","4,986","4,181","4,364","1,502"
"2011-01-01T00:00:00","24,965","6,073","3,104","2,449","1,249"
"2012-01-01T00:00:00","28,943","9,931","3,152","2,449","1,311"
