"Country","Skip","W","L","PF","PA","Ends Won","Ends Lost","Blank Ends","Stolen Ends","Shot %"
"Sweden","Anette Norberg","9","2","67","53","40","41","12","8","0.73"
"China","Wang Bingyu","8","3","64","43","44","30","14","16","0.82"
"Denmark","Lene Nielsen","7","4","77","55","47","33","15","14","0.78"
"Canada","Amber Holland","7","4","68","55","42","40","12","7","0.82"
"Switzerland","Mirjam Ott","7","4","68","58","46","37","15","15","0.82"
"Russia","Anna Sidorova","6","5","70","65","40","45","8","8","0.72"
"United States","Patti Lank","6","5","64","63","48","36","10","17","0.72"
"Germany","Andrea Schöpp","5","6","61","67","40","49","12","13","0.78"
"Scotland","Anna Sloan","4","7","49","69","33","43","15","6","0.76"
"Norway","Linn Githmark","3","8","54","71","42","48","15","7","0.77"
"Czech Republic","Anna Kubešková","2","9","40","73","35","43","11","7","0.71"
