"Name","Total W-L","Singles W-L","Doubles W-L","No. of ties","First year played","No. of years played"
"Lucie Ahl","3-0","2-0","1-0","3","2002-01-01T00:00:00","1"
"Elena Baltacha","28-14","15-7","13-7","33","2002-01-01T00:00:00","10"
"Sue Barker","31-13","15-8","16-5","27","1974-01-01T00:00:00","9"
"Sarah Borwell","5-3","0-0","5-3","8","2009-01-01T00:00:00","2"
"Amanda Brown","4-3","2-1","2-2","4","1984-01-01T00:00:00","1"
"Naomi Cavaday","0-3","0-3","0-0","3","2007-01-01T00:00:00","1"
"Glynis Coles","9-4","4-2","5-2","9","1974-01-01T00:00:00","3"
"Hannah Collin","1-2","1-1","0-1","2","2000-01-01T00:00:00","1"
"Annabel Croft","9-2","6-1","3-1","7","1985-01-01T00:00:00","2"
"Karen Cross","1-3","1-2","0-1","4","1994-01-01T00:00:00","2"
"Claire Curran","6-2","0-0","6-2","8","2006-01-01T00:00:00","2"
"Jo Durie","34-22","12-16","22-6","37","1981-01-01T00:00:00","14"
"Sara Gomer","11-4","6-4","5-0","10","1987-01-01T00:00:00","3"
"Amanda Grunfeld","2-0","0-0","2-0","2","1993-01-01T00:00:00","1"
"Anne Hobbs","21-12","4-5","17-7","26","1978-01-01T00:00:00","9"
"Christine Truman Janes","8-5","6-3","2-2","9","1963-01-01T00:00:00","3"
"Monique Javer","7-3","7-3","0-0","10","1990-01-01T00:00:00","4"
"Ann Jones","21-12","10-7","11-5","18","1963-01-01T00:00:00","6"
"Amanda Keen","2-1","2-0","0-1","3","2004-01-01T00:00:00","1"
"Deidre Keller","6-2","3-1","3-1","5","1963-01-01T00:00:00","3"
"Anne Keothavong","18-19","17-16","1-3","33","2001-01-01T00:00:00","10"
"Valda Lake","0-1","0-0","0-1","1","1996-01-01T00:00:00","1"
"Louise Latimer","8-5","4-5","4-0","11","1998-01-01T00:00:00","4"
"Sarah Loosemore","2-1","2-1","0-0","3","1990-01-01T00:00:00","1"
"Katie O'Brien","4-5","3-3","1-2","8","2005-01-01T00:00:00","3"
"Jane O'Donoghue","4-7","1-2","3-5","11","2003-01-01T00:00:00","3"
"Julie Pullin","19-10","5-3","14-7","26","1994-01-01T00:00:00","9"
"Jocelyn Rae","2-0","0-0","2-0","2","2011-01-01T00:00:00","1"
"Laura Robson","8-2","3-1","5-1","9","2012-01-01T00:00:00","2"
"Julie Salmon","8-3","0-0","8-3","11","1988-01-01T00:00:00","2"
"Shirli-Ann Siddall","0-2","0-2","0-0","2","1995-01-01T00:00:00","1"
"Samantha Smith","10-5","9-4","1-1","13","1996-01-01T00:00:00","3"
"Melanie South","3-2","1-0","2-2","4","2008-01-01T00:00:00","2"
"Elizabeth Starkie","2-1","0-0","2-1","3","1966-01-01T00:00:00","1"
"Michelle Tyler","2-3","1-1","1-2","5","1976-01-01T00:00:00","3"
"Rachel Viollet","2-0","1-0","1-0","2","2002-01-01T00:00:00","1"
"Virginia Wade","66-33","36-20","30-13","57","1967-01-01T00:00:00","17"
"Joanne Ward","6-1","3-1","3-0","6","1999-01-01T00:00:00","2"
"Heather Watson","12-2","5-2","7-0","12","2011-01-01T00:00:00","3"
"Joyce Williams","6-5","1-2","5-3","9","1969-01-01T00:00:00","4"
"Clare Wood","34-18","18-10","16-8","36","1988-01-01T00:00:00","10"
"Lorna Woodroffe","7-3","0-0","7-3","10","1997-01-01T00:00:00","3"
"Winnie Wooldridge","15-9","9-4","6-5","19","1966-01-01T00:00:00","6"
