"Stadium","Capacity","City","Region","Home Team","Opened"
"Stade de France","81338","Paris","Île-de-France","France national football team","1998-01-01T00:00:00"
"Stade Velodrome","60013","Marseille","Provence-Alpes-Côte d'Azur","Olympique de Marseille","1937-01-01T00:00:00"
"Grand Stade Lille Metropole","50186","Villeneuve-d'Ascq","Nord-Pas-de-Calais","Lille OSC","2012-01-01T00:00:00"
"Parc des Princes","48712","Paris","Île-de-France","Paris Saint-Germain FC","1897-01-01T00:00:00"
"Stade Felix Bollaert","41233","Lens","Nord-Pas-de-Calais","RC Lens","1932-01-01T00:00:00"
"Stade Gerland","41044","Lyon","Rhône-Alpes","Olympique Lyonnais","1926-01-01T00:00:00"
"Stade de la Beaujoire","38285","Nantes","Pays de la Loire","FC Nantes Atlantique","1984-01-01T00:00:00"
"Allianz Riviera","35624","Nice","Provence-Alpes-Côte d'Azur","OGC Nice","2013-01-01T00:00:00"
"Stade Geoffroy-Guichard","35616","Saint-Étienne","Rhône-Alpes","AS Saint-Étienne","1931-01-01T00:00:00"
"Stadium Municipal","35575","Toulouse","Midi-Pyrenees","Toulouse FC","1937-01-01T00:00:00"
"Stade Chaban-Delmas","34462","Bordeaux","Aquitaine","FC Girondins de Bordeaux","1938-01-01T00:00:00"
"Stade de la Mosson","32939","Montpellier","Languedoc-Roussillon","Montpellier HSC","1972-01-01T00:00:00"
"Stade de la Route de Lorient","31127","Rennes","Brittany","Stade Rennais FC","1912-01-01T00:00:00"
"Stade de la Meinau","29230","Strasbourg","Alsace","RC Strasbourg","1914-01-01T00:00:00"
"Stade Municipal Saint-Symphorien","26700","Metz","Lorraine","FC Metz","1923-01-01T00:00:00"
"Grand Stade du Havre","25178","Le Havre","Upper Normandy","Le Havre AC","2012-01-01T00:00:00"
"MMArena","25000","Le Mans","Pays de la Loire","Le Mans UC","2011-01-01T00:00:00"
"Stade du Hainaut","24926","Valenciennes","Nord-Pas-de-Calais","Valenciennes FC","2011-01-01T00:00:00"
"Stade de l'Abbe-Deschamps","23467","Auxerre","Bourgogne","AJ Auxerre","1918-01-01T00:00:00"
"Stade Louis Dugauguez","23189","Sedan","Champagne-Ardenne","Club Sportif Sedan Ardennes","2000-01-01T00:00:00"
"Stade Michel d'Ornano","22500","Caen","Lower Normandy","Stade Malherbe Caen","1993-01-01T00:00:00"
"Stade Auguste-Delaune","21684","Reims","Champagne-Ardenne","Stade Reims","1935-01-01T00:00:00"
"Stade de l'Aube","20400","Troyes","Champagne-Ardenne","Troyes AC","1956-01-01T00:00:00"
"Stade Marcel Picot","20087","Tomblaine","Lorraine","AS Nancy","1926-01-01T00:00:00"
"Stade des Alpes","20068","Grenoble","Rhône-Alpes","Grenoble Foot 38","2008-01-01T00:00:00"
"Stade Auguste Bonal","20025","Montbeliard","Franche-Comte","FC Sochaux-Montbeliard","2000-01-01T00:00:00"
"Stade Sebastien Charlety","20000","Paris","Île-de-France","Paris FC","1938-01-01T00:00:00"
