"District","District Headquarters","Area (km 2 .)","Population 1991 Census","Population 2001 Census"
"Balangir","Balangir","6575","1,230,938","1,335,760"
"Bargarh","Bargarh","5837","1,207,172","1,345,601"
"Baudh","Baudh","3098","317,622","373,038"
"Debagarh","Debagarh","2940","234,238","274,095"
"Jharsuguda","Jharsuguda","2081","446,726","509,056"
"Kalahandi","Bhawanipatna","7920","1,130,903","1,334,372"
"Nuapada","Nuapada","3852","469,482","530,524"
"Sambalpur","Sambalpur","6675","809,017","928,889"
"Subarnapur","Sonepur","2337","476,815","540,659"
"Sundargarh","Sundargarh","9712","1,573,617","1,829,412"
