"Official name","Version","Release","Date of release","Comments"
"AutoCAD Architectural Desktop 1","","1","1998-10-01T00:00:00","Platform: AutoCAD R14"
"AutoCAD Architectural Desktop 2","15.0","2","1999-07-01T00:00:00","Platform: AutoCAD 2000"
"AutoCAD Architectural Desktop 2i","15.1","3","2000-07-01T00:00:00","Platform: AutoCAD 2000i"
"AutoCAD Architectural Desktop 3","15.1","4","2000-12-01T00:00:00","Platform: AutoCAD 2000i"
"AutoCAD Architectural Desktop 3.3","15.6","5","2001-06-01T00:00:00","Platform: AutoCAD 2002"
"Architectural Desktop 2004","16.0","6","2003-03-01T00:00:00","Platform: AutoCAD 2004"
"Architectural Desktop 2005","16.1","7","2004-04-01T00:00:00","Platform: AutoCAD 2005"
"Architectural Desktop 2006","16.2","8","2005-04-01T00:00:00","Platform: AutoCAD 2006"
"Architectural Desktop 2007","17.0","9","2006-04-01T00:00:00","Platform: AutoCAD 2007"
"AutoCAD Architecture 2008","17.1","10","2007-03-01T00:00:00","Platform: AutoCAD 2008"
"AutoCAD Architecture 2010","18.0","12","2009-03-01T00:00:00","Platform: AutoCAD 2010"
"AutoCAD Architecture 2011","18.1","13","2010-03-01T00:00:00","Platform: AutoCAD 2011"
"AutoCAD Architecture 2012","18.2","14","2011-03-22T00:00:00","Platform: AutoCAD 2012"
"AutoCAD Architecture 2013","19.0","15","2012-03-27T00:00:00","Platform: AutoCAD 2013"
