"Image","Smith","Ashmolean","Foster","Hahland","Dinsmoor","Hofkes-Brukker","Harrison","Cooper","BM/Corbett"
"520","BM520","21","5","09","01N","17W","05E","01N","01N"
"521","BM521","18","9","04","22W","15W","03N","02N","19W"
"522","BM522","16","6","04","19W","09E","06E","04N","18W"
"523","BM523","13","1","03","04N","15W","04E","03N","04N"
"524","BM524","19","2","11","05E","11E","07E","10W","21W"
"525","BM525","17","4","10","21W","10E","01N","09W","23W"
"526","BM526","23","7","02","20W","14S","23W","11W","17W"
"527","BM527","14","10","08","02N","08E","21W","06W","02N"
"528","BM528","15","11","06","03N","18W","22W","07W","03N"
"529","BM529","20","3","07","18W","12S","20W","05W","20W"
"530","BM530","22","8","01","23W","13S","02N","08W","22W"
"531","BM531","3","20","16","16W","21W","15W","16E","13S"
"532","BM532","1","12","15","06E","04E","09E","22E","08E"
"533","BM533","2","13","20","11E","06E","10E","18E","11E"
"534","BM534","8","17","19","07E","22W","16W","17E","10E"
"535","BM535","11","22","18","07E","23W","18W","12W","16W"
"536","BM536","6","15","17","10E","20W","11E","19E","07E"
"537","BM537","4","21","22","12E","19W","08E","21E","09E"
"538","BM538","12","19","21","08E","05E","17W","23E","12E"
"539","BM539","7","14","23","17W","07E","19W","20E","06E"
"540","BM540","5","16","12","13S","01N","12S","13S","05E"
"541","BM541","9","18","13","14S","02N","13S","14S","14S"
"542","BM542","10","23","14","15S","03N","14S","15S","15S"
