"Name","#","Position","Height","Weight","Year","Former School","Hometown"
"Chris Brickley","11","Guard","2000-06-04T00:00:00","175","Senior","Northeastern University","Manchester, NH"
"Rakeem Buckles","4","Forward","2000-06-08T00:00:00","200","Freshman","Pace","Miami, FL"
"Reginald Delk","12","Guard","2000-06-04T00:00:00","175","Senior","Mississippi State University","Jackson, TN"
"George Goode","22","Guard","2000-06-08T00:00:00","205","Sophomore","Raytown South","Raytown, MO"
"Terrence Jennings","23","Forward","2000-06-10T00:00:00","225","Sophomore","Notre Dame Prep","Sacramento, CA"
"Preston Knowles","2","Guard","2000-06-01T00:00:00","170","Junior","George Rogers Clark","Winchester, KY"
"Kyle Kuric","14","Guard","2000-06-04T00:00:00","175","Sophomore","Reitz Memorial","Evansville, IN"
"Mike Marra","33","Guard","2000-06-04T00:00:00","190","Freshman","Northfield Mt. Hermon","Esmond, RI"
"Samardo Samuels","15","Forward","2000-06-08T00:00:00","240","Sophomore","St. Benedict","Trelawny, Jamaica"
"Peyton Siva","3","Guard","2000-05-10T00:00:00","165","Freshman","Franklin","Seattle, WA"
"Jerry Smith","34","Guard","2000-06-01T00:00:00","200","Senior","East","Wauwatosa, WI"
"Edgar Sosa","10","Guard","2000-06-01T00:00:00","200","Senior","Rice","Bronx, NY"
"Jared Swopshire","21","Forward","2000-06-07T00:00:00","215","Sophomore","IMG Academy","St. Louis, MO"
"Stephan Van Treese","44","Forward","2000-06-08T00:00:00","220","Freshman","Lawrence North","Indianapolis, IN"
