"Year","Class","Team name","Bike","Riders","Races","Wins","Podiums","Poles","F.laps","Points","Pos."
"2005-01-01T00:00:00","MotoGP","Konica Minolta Honda","Honda RC211V","Makoto Tamada","14","0","1","0","0","91","11th"
"2005-01-01T00:00:00","MotoGP","Konica Minolta Honda","Honda RC211V","Jurgen van den Goorbergh","2","0","0","0","0","12","20th"
"2006-01-01T00:00:00","MotoGP","Konica Minolta Honda","Honda RC211V","Makoto Tamada","17","0","0","0","0","96","12th"
"2007-01-01T00:00:00","MotoGP","Konica Minolta Honda","Honda RC212V","Shinya Nakano","18","0","0","0","0","47","17th"
"2008-01-01T00:00:00","MotoGP","JiR Team Scot MotoGP","Honda RC212V","Andrea Dovizioso","18","0","1","0","0","174","5th"
"2008-01-01T00:00:00","250cc","JiR Team Scot 250","Honda RS250R","Yuki Takahashi","16","0","3","0","0","167","5th"
"2010-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Simone Corsi","17","0","2","0","0","138","5th"
"2010-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Mattia Pasini [a ]","6","0","0","0","0","12","28th"
"2010-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Yusuke Teshima [a ]","4","0","0","0","0","1","39th"
"2010-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Alex de Angelis [a ]","7","1","3","1","1","84","11th"
"2011-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Alex de Angelis","17","1","2","1","2","174","4th"
"2012-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Johann Zarco","17","0","0","0","0","94","10th"
"2012-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Eric Granado","11","0","0","0","0","0","NC"
"2013-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Mike Di Meglio","10","0","0","0","0","18","20th"
"2013-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Jason O´Halloran","2","0","0","0","0","0","NC"
"2013-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Román Ramos [a ]","1","0","0","0","0","0","NC"
"2013-01-01T00:00:00","Moto2","JiR Moto2","Motobi TSR 6","Fadli Immammuddin","1","0","0","0","0","0","NC"
