"Rank","Name","Location","Length ( m )","Length ( ft )"
"1","Xian Ren Qiao","Guangxi , China","121","400"
"2","Landscape Arch","Arches National Park , Utah , USA","88","290"
"3","Kolob Arch","Zion National Park , Utah , USA","87","287"
"4","Aloba Arch","Ennedi Plateau , Chad","76","250"
"5","Morning Glory Natural Bridge","Negro Bill Canyon , Utah , USA","74","243"
"6","Rainbow Bridge","Glen Canyon National Recreation Area , Utah , USA","71","234"
"7","Gaotun Natural Bridge","Guizhou , China","70","230"
"8","Sipapu Natural Bridge","Natural Bridges National Monument , Utah , USA","69","225"
"9","Stevens Arch","Escalante Canyon , Utah , USA","67","220"
"10","Shipton's Arch","Xinjiang , China","65","212"
"10","Jiangzhou Arch","Guangxi , China","65","212"
"12","Hazarchishma Natural Bridge","Bamiyan Province , Afghanistan","64.2","210.6"
"13","Outlaw Arch","Dinosaur National Monument , Colorado , USA","63","206"
"14","Snake Bridge","Sanostee , New Mexico , USA","62","204"
"","Wrather Arch","Wrather Canyon , Arizona , USA","1.3636363636363635","1.3666666666666667"
