"Place (Posición)","Team (Equipo)","Played (PJ)","Won (PG)","Draw (PE)","Lost (PP)","Goals Scored (GF)","Goals Conceded (GC)","+/- (Dif.)","Points (Pts.)"
"1.","Tauro F.C.","18","10","7","1","31","17","14.0","37"
"2.","San Francisco F.C.","18","11","2","5","40","25","15.0","35"
"3.","Arabe Unido","18","10","3","5","30","20","10.0","33"
"4.","Atletico Veragüense","18","9","6","3","22","16","6.0","33"
"5.","Plaza Amador","18","9","4","5","25","17","8.0","31"
"6.","Alianza F.C.","18","8","2","8","29","31","-2.0","26"
"7.","Municipal Chorrillo","18","6","6","6","24","23","1.0","24"
"8.","Sporting '89","18","4","1","13","17","31","-14.0","13"
"9.","Atletico Chiriquí","18","2","4","12","14","30","-16.0","10"
"10.","Policia Nacional","18","3","1","14","17","39","-22.0","10"
