"Rank","Park","Location","Peak Name","Elevation (ft)","Minimum Elevation (ft)","Vertical Relief (ft)"
"1","Denali","AK0573","Mount McKinley","20320","240","20,080"
"2","Wrangell-St. Elias","AK0573","Mount Saint Elias","18008","0","18,008"
"3","Glacier Bay","AK0573","Mount Fairweather","15300","0","15,300"
"4","Sequoia","CA0621","Mount Whitney","14505","1360","13,145"
"5","Mount Rainier","WA0621","Mount Rainier","14411","1610","12,801"
"6","Rocky Mountain","CO0621","Longs Peak","14259","7630","6,629"
"7","Kings Canyon","CA0621","North Palisade","14242","3480","10,762"
"8","Grand Teton","WY0621","Grand Teton","13770","6310","7,460"
"9","Hawaii Volcanoes","HI0621","Mauna Loa","13679","0","13,679"
"10","Great Sand Dunes","CO0621","Tijeras Peak","13604","7520","6,084"
"11","Yosemite","CA0573","Mount Lyell","13114","2105","11,009"
"12","Great Basin","NV0573","Wheeler Peak","13065","6195","6,870"
"13","Yellowstone","WY0573 MT0621 ID0621","Eagle Peak","11358","5282","6,076"
"14","Death Valley","CA0621 NV0621","Telescope Peak","11049","-282","11,331"
"15","Glacier","MT0621","Mount Cleveland","10466","3150","7,316"
"16","Lassen Volcanic","CA0621","Lassen Peak","10457","5275","5,182"
"17","Lake Clark","AK0621","Redoubt Volcano","10197","0","10,197"
"18","Haleakala","HI0621","Haleakala","10023","0","10,023"
"19","North Cascades","WA0621","Goode Mountain","9206","605","8,601"
"20","Grand Canyon","AZ0621","Lookout tower near the North Rim 's main entrance","9165","1173","7,992"
"21","Bryce Canyon","UT0621","Rainbow Point","9115","6565","2,550"
"22","Black Canyon of the Gunnison","CO0621","Poison Spring Hill","9040","5440","3,600"
"23","Capitol Reef","UT0621","park boundary near Billings Pass","8960","3877","5,083"
"24","Crater Lake","OR0621","Mount Scott","8929","3990","4,939"
"25","Guadalupe Mountains","TX0621","Guadalupe Peak","8749","3636","5,113"
"26","Zion","UT0621","Horse Ranch Mountain","8726","3640","5,086"
"27","Saguaro","AZ0621","Mica Mountain","8666","2180","6,486"
"28","Mesa Verde","CO0621","Park Point Lookout","8571","6015","2,556"
"29","Gates of the Arctic","AK0621","Mount Igikpak","8276","280","7,996"
"30","Olympic","WA0573","Mount Olympus","7962","0","7,962"
"31","Big Bend","TX0621","Emory Peak","7825","1715","6,110"
"32","Katmai","AK0573","Mount Denison","7606","0","7,606"
"33","Canyonlands","UT0621","Cathedral Point","7120","3730","3,390"
"34","Great Smoky Mountains","TN0621 NC0621","Clingmans Dome","6643","874","5,769"
"35","Carlsbad Caverns","NM0621","Guadalupe Ridge","6535","3596","2,939"
"36","Kenai Fjords","AK0573","unnamed nunatak","6450","0","6,450"
"37","Petrified Forest","AZ0621","Pilot Rock","6234","5200","1,034"
"38","Joshua Tree","CA0621","Quail Mountain","5813","1780","4,033"
"39","Arches","UT0621","Elephant Butte","5653","3960","1,693"
"40","Wind Cave","SD0573","Rankin Ridge","5013","3559","1,454"
"41","Kobuk Valley","AK0573","Mount Angayukaqsraq","4760","40","4,720"
"42","Shenandoah","VA0573","Hawksbill Mountain","4051","530","3,521"
"43","Badlands","SD0573","Red Shirt Table","3340","2365","975"
"44","Redwood","CA0573","Coyote Peak","3170","0","3,170"
"45","Teddy Roosevelt","ND0573","Peck Hill","2860","1940","920"
"46","Channel Islands","CA0573","El Montañon , Santa Cruz Island","1812","0","1,812"
"47","Acadia","ME0573","Cadillac Mountain","1530","0","1,530"
"48","Voyageurs","MN0573","Tower near Mead Wood Road entrance","1410","1108","302"
"49","Hot Springs","AR0573","Music Mountain","1405","415","990"
"50","Isle Royale","MI0573","Mount Desor","1394","600","794"
"51","Cuyahoga","OH0573","Black & Brush Roads","1164","590","574"
"52","Mammoth Cave","KY0573","Mammoth Cave Ridge near Park Ridge Road","925","421","504"
"53","Congaree","SC0573","Old Bluff Road near main entrance","140","80","60"
"54","Everglades","FL0573","Calusa shell mound","20","0","20"
"55","Dry Tortugas","FL0573","Loggerhead Key","10","0","10"
"56","Biscayne","FL0573","Totten Key , Old Rhodes Key","9","0","9"
