"Matrix","Recording date","Title","Accompaniment","Paramount Issue No.","Sandra Lieb Classification","JSP 77933","Document DOCD"
"1596","1923-12-01T00:00:00","Bad Luck Blues","Lovie Austin Blues Serenaders","12081","Twelve-Bar Blues","A","5581"
"1597","1923-12-01T00:00:00","Bo-Weavil Blues","Lovie Austin Blues Serenaders","12080","Mixture of Blues and Popular Song Forms","A","5581"
"1598","1923-12-01T00:00:00","Barrel House Blues","Lovie Austin Blues Serenaders","12082","Twelve-Bar Blues","A","5581"
"1599","1923-12-01T00:00:00","Those All Night Long Blues","Lovie Austin Blues Serenaders","12081","Non-blues","A","5581"
"1608","1923-12-01T00:00:00","Moonshine Blues","Lovie Austin Blues Serenaders","12083","Mixture of Blues and Popular Song Forms","A","5581"
"1609","1923-12-01T00:00:00","Last Minute Blues","Lovie Austin Blues Serenaders","12080","Twelve-Bar Blues","A","5581"
"1612","1923-12-01T00:00:00","Southern Blues","Lovie Austin Blues Serenaders","12083","Twelve-Bar Blues","A","5581"
"1613","1923-12-01T00:00:00","Walking Blues","Lovie Austin Blues Serenaders","12082","Twelve-Bar Blues","A","5581"
"1698","1924-03-01T00:00:00","Lost Wandering Blues","Pruit Twins","12098","Twelve-Bar Blues","A","5581"
"1699","1924-03-01T00:00:00","Dream Blues","Pruit Twins","12098","Twelve-Bar Blues","A","5581"
"1701","1924-03-01T00:00:00","Honey Where You Been So Long?","Lovie Austin Blues Serenaders","12200","Non-blues","A","5581"
"1702","1924-03-01T00:00:00","Ya-Da-Do","Her Georgia Jazz Band","12257","Non-blues","A","5581"
"1703","1924-03-01T00:00:00","Those Dogs of Mine","Lovie Austin Blues Serenaders","12215","Non-blues","A","5581"
"1704","1924-03-01T00:00:00","Lucky Rock Blues","Lovie Austin Blues Serenaders","12215","Mixture of Blues and Popular Song Forms","A","5581"
"1741","1924-04-01T00:00:00","South Bound Blues","Her Georgia Jazz Band","12227","Non-blues","A","5581"
"1758","1924-05-01T00:00:00","Lawd Send Me A Man Blues","Her Georgia Jazz Band","12227","Non-blues","A","5581"
"1759","1924-05-01T00:00:00","Ma Rainey's Mystery Record","Lovie Austin Blues Serenaders","12200","Twelve-Bar Blues","A","5581"
"1824","1924-08-01T00:00:00","Shave 'Em Dry Blues","two unknown guitars","12222","Eight-Bar Blues","B","5581"
"1825","1924-08-01T00:00:00","Farewell Daddy Blues","unknown guitar","12222","Twelve-Bar Blues","B","5581"
"1922","1924-10-01T00:00:00","Booze And Blues","Her Georgia Jazz Band","12242","Twelve-Bar Blues","B","5582"
"1923","1924-10-01T00:00:00","Toad Frog Blues","Her Georgia Jazz Band","12242","Twelve-Bar Blues","B","5582"
"1924","1924-10-01T00:00:00","Jealous Hearted Blues","Her Georgia Jazz Band","12252","Twelve-Bar Blues","B","5582"
"1925","1924-10-01T00:00:00","See See Rider Blues","Her Georgia Jazz Band","12252","Mixture of Blues and Popular Song Forms","B","5582"
"1926","1924-10-01T00:00:00","Jelly Bean Blues","Her Georgia Jazz Band","12238","Mixture of Blues and Popular Song Forms","B","5582"
"1927","1924-10-01T00:00:00","Countin' The Blues","Her Georgia Jazz Band","12238","Twelve-Bar Blues","B","5582"
"10001","1924-11-01T00:00:00","Cell Bound Blues","Her Georgia Jazz Band","12257","Mixture of Blues and Popular Song Forms","B","5582"
"2136","1925-05-01T00:00:00","Army Camp Harmony Blues","Her Georgia Jazz Band","12284","Twelve-Bar Blues","B","5582"
"2137","1925-05-01T00:00:00","Explaining The Blues","Her Georgia Jazz Band","12284","Twelve-Bar Blues","B","5582"
"2138","1925-05-01T00:00:00","Louisiana Hoo Doo Blues","Her Georgia Jazz Band","12290","Twelve-Bar Blues","B","5582"
"2138","1925-05-01T00:00:00","Goodbye Daddy Blues","Her Georgia Jazz Band","12290","Mixture of Blues and Popular Song Forms","B","5582"
"2209","1925-05-01T00:00:00","Stormy Seas Blues","Her Georgia Band","12295","Twelve-Bar Blues","B","5582"
"2210","1925-08-01T00:00:00","Rough And Tumble Blues","Her Georgia Band","12311","Twelve-Bar Blues","B","5582"
"2211","1925-08-01T00:00:00","Night Time Blues","Her Georgia Band","12303","Twelve-Bar Blues","B","5582"
"2212","1925-08-01T00:00:00","Levee Camp Moan","Her Georgia Band","12295","Non-blues","B","5582"
"2213","1925-08-01T00:00:00","Four Day Honorary Scat","Her Georgia Band","12303","Non-blues","B","5582"
"2214","1925-08-01T00:00:00","Memphis Bound Blues","Her Georgia Band","12311","Twelve-Bar Blues","B","5582"
"2369","1925-12-01T00:00:00","Slave To The Blues","Her Georgia Band","12332","Twelve-Bar Blues","C","5583"
"2370","1925-12-01T00:00:00","Yonder Come The Blues","Her Georgia Band","12357","Non-blues","C","5583"
"2371","1925-12-01T00:00:00","Titanic Man Blues","Her Georgia Band","12374","Mixture of Blues and Popular Song Forms","C","5583"
"2372","1925-12-01T00:00:00","Chain Gang Blues","Her Georgia Band","12338","Twelve-Bar Blues","C","5583"
"2373","1925-12-01T00:00:00","Bessemer Bound Blues","Her Georgia Jazz Band","12332","Twelve-Bar Blues","C","5583"
"2374","1925-12-01T00:00:00","Oh My Babe Blues","Her Georgia Band","12374","Non-blues","C","5583"
"2375","1925-12-01T00:00:00","Wringing And Twisting Blues","Her Georgia Band","12338","Non-blues","C","5583"
"2369","1925-12-01T00:00:00","Stack O'Lee Blues","Her Georgia Band","12357","Ballad","C","5583"
"2448","1926-03-01T00:00:00","Broken Hearted Blues","Her Georgia Band","12364","Twelve-Bar Blues","C","5583"
"2451","1926-03-01T00:00:00","Jealousy Blues","Her Georgia Band","12364","Non-blues","C","5583"
"2452","1926-03-01T00:00:00","Seeking Blues","Her Georgia Band","12352","Mixture of Blues and Popular Song Forms","C","5583"
"2466","1926-03-01T00:00:00","Mountain Jack Blues","Jimmy Blythe","12352","Twelve-Bar Blues","C","5583"
"2627","1926-06-01T00:00:00","Down In The Basement","Her Georgia Band","12395","Non-blues","C","5583"
"2628","1926-06-01T00:00:00","Sissy Blues","Her Georgia Band","12384","Twelve-Bar Blues","C","5583"
"2629","1926-06-01T00:00:00","Broken Soul Blues","Her Georgia Band","12384","Non-blues","C","5583"
"2631","1926-06-01T00:00:00","Trust No Man","Lillian Henderson","12395","Non-blues","C","5583"
"405","1926-11-01T00:00:00","Morning Hour Blues","Jimmy Blythe  Blind Blake","12455","Twelve-Bar Blues","D","5584"
"407","1926-11-01T00:00:00","Weepin' Woman Blues","Her Georgia Boys","12455","Twelve-Bar Blues","D","5584"
"408","1926-11-01T00:00:00","Soon This Morning","Her Georgia Band","12438","Twelve-Bar Blues","D","5584"
"4019","1926-12-01T00:00:00","Little Low Mamma Blues","Blind Blake  poss Leroy Picket","12419","Twelve-Bar Blues","D","5584"
"4020","1926-12-01T00:00:00","Grievin Hearted Blues","Blind Blake  poss Leroy Picket","12419","Mixture of Blues and Popular Song Forms","D","5584"
"4021","1926-12-01T00:00:00","Don't Fish In My Sea","Jimmy Blythe","12438","Twelve-Bar Blues","D","5584"
