"Name of county","County seat","Area (km²)","Population","Population density","Towns/ villages"
"Bács-Kiskun","Kecskemet","8445","541584","64","119"
"Baranya","Pecs","4430","402260","91","301"
"Bekes","Bekescsaba","5631","392845","70","75"
"Borsod-Abaúj-Zemplen","Miskolc","7247","739143","102","355"
"Csongrád","Szeged","4263","425785","100","60"
"Fejer","Szekesfehervár","4359","428579","98","108"
"Győr-Moson-Sopron","Győr","4208","440138","105","182"
"Hajdú-Bihar","Debrecen","6211","550265","89","82"
"Heves","Eger","3637","323769","89","119"
"Jász-Nagykun-Szolnok","Szolnok","5582","413174","74","75"
"Komárom-Esztergom","Tatabánya","2265","315886","139","76"
"Nógrád","Salgótarján","2546","218218","86","129"
"Pest","Budapest","6393","1124395","176","186"
"Somogy","Kaposvár","6036","334065","55","244"
"Szabolcs-Szatmár-Bereg","Nyíregyháza","5936","583564","98","228"
"Tolna","Szekszárd","3703","247287","67","108"
"Vas","Szombathely","3336","266342","80","216"
"Veszprem","Veszprem","4493","368519","82","217"
