"Year","Coach","Crew","Record","Win %"
"2003","John Gartin","Varsity 8+","7-3","0.7"
"2003","John Gartin","Varsity 4+","2-3","0.4"
"2004","John Gartin","Varsity 8+","10-1","0.9"
"2004","John Gartin","Varsity 4+","9-3","0.75"
"2005","John Gartin","Varsity 8+","5-3","0.625"
"2005","John Gartin","Varsity 4+","8-0","1.0"
"2006","John Gartin","Varsity 8+","7-2","0.777"
"2006","John Gartin","Varsity 4+","7-2","0.777"
"2007","John Gartin","Varsity 8+","10-0","1.0"
"2007","John Gartin","Varsity 4+","11-0","1.0"
"2008","John Gartin","Varsity 8+","13-0","1.0"
"2008","John Gartin","Varsity 4+","9-0","1.0"
"2009","John Gartin","Varsity 8+","11-0","1.0"
"2009","John Gartin","Varsity 4+","9-1","0.9"
"Totals","2003-2008","Varsity 4 & 8","118-18","0.868"
