"Name","Innings","Runs Scored","Balls Faced","Average","S.R."
"Adam Gilchrist","8","313","318","39.13","98.43"
"Matthew Hayden","6","161","231","26.83","69.7"
"Ricky Ponting","8","189","256","23.63","73.83"
"Michael Clarke","7","293","416","48.83","70.43"
"Andrew Symonds","8","100","125","14.29","80.0"
"Michael Hussey","7","189","283","47.25","66.78"
"James Hopes","7","115","125","16.43","92.0"
"Brett Lee","5","49","102","12.25","48.04"
"Mitchell Johnson","5","21","44","7.0","47.73"
"Nathan Bracken","4","16","43","5.33","37.21"
"Stuart Clark","2","8","10","8.0","80.0"
"Brad Haddin","2","12","44","6.0","27.27"
"Brad Hogg","4","62","100","15.5","62.0"
