"Aces","Player","Opponent","Year","Event","Sets","Result"
"25","Alexandra Stevenson","Alexandra Mueller","2013-01-01T00:00:00","Quebec City","3","7-6  , 6-7  , 6-7"
"24","Serena Williams","Victoria Azarenka","2012-01-01T00:00:00","Wimbledon","2","6-3, 7-6"
"24","Kaia Kanepi","Lucie Safarova","2008-01-01T00:00:00","Tokyo","3","4-6, 6-3, 6-4"
"23","Serena Williams","Zheng Jie","2012-01-01T00:00:00","Wimbledon","3","6-7  , 6-2, 9-7"
"22","Alicia Molik","Venus Williams","2007-01-01T00:00:00","Tokyo","2","6-7  , 3-6"
"22","Brenda Schultz","Iva Majoli","1994-01-01T00:00:00","Birmingham","3","6-4, 5-7, 6-0"
"22","Meghann Shaughnessy","Nicole Vaidišová","2005-01-01T00:00:00","Memphis","2","7-6, 7-6"
"21","Ekaterina Bychkova","Lindsay Lee-Waters","2011-01-01T00:00:00","French Open","3","3-6, 7-6  , 10-8"
"20","Serena Williams","Elena Dementieva","2009-01-01T00:00:00","Wimbledon","3","6-7  , 7-5, 8-6"
"20","Serena Williams","Samantha Stosur","2012-01-01T00:00:00","Miami","2","7-5, 6-3"
"20","Venus Williams","Lindsay Davenport","1998-01-01T00:00:00","Stanford","3","4-6, 7-5, 4-6"
"20","Kristina Mladenovic","Michaëlla Krajicek","2012-01-01T00:00:00","Brisbane","3","7-5, 6-7  , 6-2"
"20","Naomi Broady","Caroline Garcia","2011-01-01T00:00:00","Birmingham","3","6-2, 6-7  , 6-4"
"20","Nicole Vaidišová","Jelena Janković","2006-01-01T00:00:00","Linz","3","5-7, 7-6  , 6-4"
"20","Julia Görges","Agnieszka Radwańska","2012-01-01T00:00:00","London","3","7-5, 6-7  , 6-4"
