"Year","Dates","Venue","Champion","Country","Score","To par","Margin of victory","Runner(s)-up","Purse ( $ )","Winners share ($)"
"2013-01-01T00:00:00","Aug 1-4","Old Course at St Andrews","Stacy Lewis","United States","280","-8.0","2 strokes","Na Yeon Choi Hee Young Park","2750000","402583"
"2012-01-01T00:00:00","Sep 13-16","Royal Liverpool Golf Club","Jiyai Shin","South Korea","279","-9.0","9 strokes","Inbee Park","2750000","428650"
"2011-01-01T00:00:00","July 28-31","Carnoustie Golf Links","Yani Tseng","Taiwan","272","-16.0","4 strokes","Brittany Lang","2500000","392133"
"2010-01-01T00:00:00","July 29-Aug 1","Royal Birkdale Golf Club","Yani Tseng","Taiwan","277","-11.0","1 stroke","Katherine Hull","2500000","408714"
"2009-01-01T00:00:00","July 30-Aug 2","Royal Lytham & St Annes Golf Club","Catriona Matthew","Scotland","285","-3.0","3 strokes","Karrie Webb","2200000","335000"
"2008-01-01T00:00:00","July 31-Aug 3","Sunningdale Golf Club","Jiyai Shin","South Korea","270","-18.0","3 strokes","Yani Tseng","2100000","314464"
"2007-01-01T00:00:00","Aug 2-5","Old Course at St Andrews","Lorena Ochoa","Mexico","287","-5.0","4 strokes","Maria Hjorth Jee Young Lee","2000000","320512"
"2006-01-01T00:00:00","Aug 3-6","Royal Lytham & St Annes Golf Club","Sherri Steinhauer","United States","281","-7.0","3 strokes","Sophie Gustafson Cristie Kerr","1800000","305440"
"2005-01-01T00:00:00","July 28-31","Royal Birkdale Golf Club","Jeong Jang","South Korea","272","-16.0","4 strokes","Sophie Gustafson","1800000","280208"
"2004-01-01T00:00:00","July 29-Aug 1","Sunningdale Golf Club","Karen Stupples","England","269","-19.0","5 strokes","Rachel Hetherington","1600000","290880"
"2003-01-01T00:00:00","July 31-Aug 3","Royal Lytham & St Annes Golf Club","Annika Sörenstam","Sweden","278","-10.0","1 stroke","Se Ri Pak","1600000","254880"
"2002-01-01T00:00:00","Aug 8-11","Turnberry - Ailsa Course","Karrie Webb","Australia","273","-15.0","2 strokes","Michelle Ellis Paula Martí","1500000","236383"
