"Province","Capital","Population (2005)","Population (%)","Area (km²)","Area (%)","Density"
"Camagüey","Camagüey","784178","7.02","14134","13.2","50.22"
"Ciego de Ávila","Ciego de Ávila","411766","3.68","5962","5.6","60.7"
"Cienfuegos","Cienfuegos","395183","3.54","4149","3.9","94.54"
"Ciudad de la Habana","Havana","2201610","19.7","740","0.7","3053.49"
"Granma","Bayamo","822452","7.36","8452","7.9","98.2"
"Guantánamo","Guantánamo","507118","4.54","6366","6.0","82.22"
"Holguín","Holguín","1021321","9.14","9105","8.5","109.9"
"Isla de la Juventud","Nueva Gerona","86559","0.77","2199","2.1","35.78"
"La Habana","Havana","711066","6.36","5669","5.3","124.06"
"Las Tunas","Las Tunas","525485","4.7","6373","6.0","79.77"
"Matanzas","Matanzas","670427","6.0","11669","10.0","56.8"
"Pinar del Río","Pinar del Río","726574","6.5","10860","10.2","66.63"
"Sancti Spíritus","Sancti Spíritus","460328","4.12","6737","6.3","68.33"
"Santiago de Cuba","Santiago de Cuba","1036281","9.27","6343","5.9","168.32"
"Villa Clara","Santa Clara","817395","7.31","8069","7.6","97.17"
"Cuba","Havana","11177743","100","106827","100","101.72"
