"Pitcher","Starts","Wins","Losses","No decisions","Winning %","Seasons"
"Charlie Hough Category:Articles with hCards","6","3","1","2","0.75","1982, 1984, 1985, 1987, 1988, 1989"
"Dick Bosman Category:Articles with hCards","4","1","3","0","0.25","1970, 1971, 1972, 1973"
"Kevin Millwood Category:Articles with hCards","4","1","3","0","0.25","2006, 2007, 2008"
"Jon Matlack Category:Articles with hCards","3","1","1","1","0.5","1978, 1980, 1981"
"Nolan Ryan Category:Articles with hCards","3","1","1","1","0.5","1990, 1991, 1992"
"Kenny Rogers Category:Articles with hCards","3","2","0","1","1.0","1995, 2000, 2004"
"Pete Richert Category:Articles with hCards","2","0","2","0","0.0","1966, 1967"
"Camilo Pascual Category:Articles with hCards","2","0","2","0","0.0","1968, 1969"
"Ferguson Jenkins Category:Articles with hCards","2","1","1","0","0.5","1975, 1979"
"Ken Hill Category:Articles with hCards","2","2","0","0","1.0","1996, 1997"
"Rick Helling Category:Articles with hCards","2","0","2","0","0.0","1999, 2001"
"Dick Donovan Category:Articles with hCards","1","0","1","0","0.0","1961"
"Bennie Daniels Category:Articles with hCards","1","1","0","0","1.0","1962"
"Don Rudolph Category:Articles with hCards","1","0","1","0","0.0","1963"
"Claude Osteen Category:Articles with hCards","1","1","0","0","1.0","1964"
"Phil Ortega Category:Articles with hCards","1","0","1","0","0.0","1965"
"Jim Bibby Category:Articles with hCards","1","0","1","0","0.0","1974"
"Gaylord Perry Category:Articles with hCards","1","0","1","0","0.0","1976"
"Bert Blyleven Category:Articles with hCards","1","1","0","0","1.0","1977"
"Mike Smithson Category:Articles with hCards","1","0","0","1","0.0","1983"
"C. J. Wilson Category:Articles with hCards","1","0","0","1","0.0","2011"
"Scott Feldman Category:Articles with hCards","1","0","0","1","0.0","2010"
"Jose Guzmán Category:Articles with hCards","1","1","0","0","1.0","1986"
"Craig Lefferts Category:Articles with hCards","1","1","0","0","1.0","1993"
"Kevin Brown Category:Articles with hCards","1","0","1","0","0.0","1994"
"John Burkett Category:Articles with hCards","1","0","1","0","0.0","1997"
"Chan Ho Park Category:Articles with hCards","1","0","1","0","0.0","2002"
"Ismael Valdez Category:Articles with hCards","1","1","0","0","1.0","2003"
"Ryan Drese Category:Articles with hCards","1","0","1","0","0.0","2005"
"Colby Lewis Category:Articles with hCards","1","1","0","0","1.0","2012"
