"Date","Visitor","Score","Home","Decision","Attendance","Record","Points"
"2000-01-02T00:00:00","Montreal Canadiens","1-4","New Jersey Devils","Halak","17,625","21-10-6","48"
"2000-01-04T00:00:00","Florida Panthers","5-6 SO","Montreal Canadiens","Halak","21,273","22-10-6","50"
"2000-01-07T00:00:00","Montreal Canadiens","6-3","New York Rangers","Halak","18,200","23-10-6","52"
"2000-01-08T00:00:00","Toronto Maple Leafs","2-6","Montreal Canadiens","Halak","21,273","24-10-6","54"
"2000-01-10T00:00:00","Washington Capitals","4-5","Montreal Canadiens","Halak","21,273","25-10-6","56"
"2000-01-13T00:00:00","Montreal Canadiens","1-3","Boston Bruins","Halak","17,565","25-11-6","56"
"2000-01-15T00:00:00","Nashville Predators","2-3","Montreal Canadiens","Halak","21,273","26-11-6","58"
"2000-01-17T00:00:00","Montreal Canadiens","5-4 SO","Ottawa Senators","Halak","20,413","27-11-6","60"
"2000-01-20T00:00:00","Montreal Canadiens","2-4","Atlanta Thrashers","Halak","13,076","27-12-6","60"
"2000-01-21T00:00:00","Montreal Canadiens","2-5","New Jersey Devils","Price","16,235","27-13-6","60"
"2000-01-27T00:00:00","Montreal Canadiens","3-5","Tampa Bay Lightning","Price","15,912","27-14-6","60"
"2000-01-29T00:00:00","Montreal Canadiens","1-5","Florida Panthers","Price","16,334","27-15-6","60"
"2000-01-31T00:00:00","Los Angeles Kings","3-4","Montreal Canadiens","Price","21,273","28-15-6","62"
