"Order","Episode","Rating","Share","Rating/share (18–49)","Viewers (millions)","Rank (Night)","Rank (Timeslot)","Rank (Week)"
"2",""" Goliath ""","3.9","6","0.4","6.07","9","3","55"
"3",""" Prosperity ""","2.9","5","0.65","4.6","13","4","67"
"4",""" First Night ""","3.0","5","0.6333333333333333","4.51","13","5","61"
"5",""" Insurrection ""","2.5","4","0.3666666666666667","3.61","13","4","59"
"6",""" Judgment Day ""","1.5","3","0.3","2.41","7","4","64"
"7",""" Brotherhood ""","0.9","2","0.3","1.59","10","4","39"
"8","""The Sabbath Queen""","1.2","3","0.25","1.94","11","4","28"
"9",""" Pilgrimage ""","1.0","3","0.2","1.54","11","4","41"
"10",""" Chapter One ""","1.1","3","0.3","1.3","10","4","34"
"11","""Javelin""","1.2","2","0.2","1.64","11","4","36"
"12",""" The New King ""","1.0","2","0.2","1.57","11","4","38"
"13",""" The New King ""","1.3","3","0.2","1.8","10","3","38"
