"Draw","Language","Artist","Place","Points"
"1","Dutch","Conny van den Bos","11","5"
"2","English","Kathy Kirby","2","26"
"3","Spanish","Conchita Bautista","15","0"
"4","English","Butch Moore","6","11"
"5","German","Ulla Wiesner","15","0"
"6","German","Udo Jürgens","4","16"
"7","Norwegian","Kirsti Sparboe","13","1"
"8","Dutch","Lize Marke","15","0"
"9","French","Marjorie Noël","9","7"
"10","English","Ingvar Wixell","10","6"
"11","French","Guy Mardel","3","22"
"12","Portuguese","Simone de Oliveira","13","1"
"13","Italian","Bobby Solo","5","15"
"14","Danish","Birgit Brüel","7","10"
"15","French","France Gall","1","32"
"16","Finnish","Viktor Klimenko","15","0"
"17","Croatian","Vice Vukov","12","2"
"18","French","Yovanna","8","8"
