"Election","Labour","Conservative","Liberal","Social Democratic Party","Social and Liberal Democrats/ Liberal Democrats","Independent","Green","Other","Control"
"1973-01-01T00:00:00","45","14","8","0","0","1","0","0","Labour"
"1975-01-01T00:00:00","36","28","7","0","0","1","0","0","Labour hold"
"1976-01-01T00:00:00","25","50","9","0","0","0","0","0","Conservative gain from Labour"
"1978-01-01T00:00:00","15","48","9","0","0","0","0","0","Conservative hold"
"1979-01-01T00:00:00","32","35","5","0","0","0","0","0","Conservative lose to no overall control"
"1980-01-01T00:00:00","44","25","3","0","0","0","0","0","Labour gain from no overall control"
"1982-01-01T00:00:00","37","19","12","4","0","0","0","0","Labour hold"
"1983-01-01T00:00:00","37","20","12","3","0","0","0","0","Labour hold"
"1984-01-01T00:00:00","37","18","14","3","0","0","0","0","Labour hold"
"1986-01-01T00:00:00","36","18","17","0","0","1","0","0","Labour hold"
"1987-01-01T00:00:00","33","21","18","0","0","0","0","0","Labour lose to no overall control"
"1988-01-01T00:00:00","33","23","0","0","15","1","0","0","No overall control"
"1990-01-01T00:00:00","45","15","0","0","12","0","0","0","Labour gain from no overall control"
"1992-01-01T00:00:00","41","19","0","0","10","2","0","0","Labour hold"
"1994-01-01T00:00:00","35","21","0","0","15","1","0","0","Labour lose to no overall control"
"1995-01-01T00:00:00","40","16","0","0","14","2","0","0","Labour gain from no overall control"
"1996-01-01T00:00:00","45","6","0","0","18","1","1","1 vacancy","Labour hold"
"1998-01-01T00:00:00","43","7","0","0","20","0","2","0","Labour hold"
"1999-01-01T00:00:00","36","10","0","0","23","0","3","0","Labour lose to no overall control"
"2000-01-01T00:00:00","25","15","0","0","29","0","3","0","No overall control"
"2002-01-01T00:00:00","26","15","0","0","28","0","3","0","No overall control"
