"Release","Start","Pieces","Board (inches)","Board (cm)","Type"
"1981-01-01T00:00:00","1942","415","37 × 19½","93 × 50","Global"
"1984-01-01T00:00:00","1942","299","33 × 19½","83 × 50","Global"
"1999-01-01T00:00:00","1941","373","30 × 20","75 × 50","Theater"
"2001-01-01T00:00:00","1941","335","30 × 20","75 × 50","Theater"
"2004-01-01T00:00:00","1944","241","30 × 20","75 × 50","Local"
"2004-01-01T00:00:00","1942","366","33 × 20","83 × 50","Global"
"2006-01-01T00:00:00","1944","157","30 × 20","75 × 50","Local"
"2007-01-01T00:00:00","1942","172","30 × 20","75 × 50","Local"
"2008-01-01T00:00:00","46.214285714285715","672","46 × 24","115 × 60","Global"
"2009-01-01T00:00:00","1942","370","33 × 20","83 × 50","Global"
"2009-01-01T00:00:00","1940","455","35 × 32","89 × 81","Theater"
"2010-01-01T00:00:00","1940","550","35 × 32","89 × 81","Theater"
"2010-01-01T00:00:00","1940","1005","70 × 32","178 × 81","Global"
"2012-01-01T00:00:00","1941","160","32.5 × 17.5","83 × 44","Global"
"2012-01-01T00:00:00","1942","410","40 × 26","102 × 66","Global"
"2012-01-01T00:00:00","1940","500","35 × 32","89 × 81","Theater"
"2012-01-01T00:00:00","1940","610","35 × 32","89 × 81","Theater"
"2012-01-01T00:00:00","1940","1110","70 × 32","178 × 81","Global"
"2013-01-01T00:00:00","1914","400","32.5 x 32.25","82.6 x 81.9","Theater"
