"Rank","Club","Points","Played","Victories","Draws","Defeats","Goals for","Goals against","Goal average"
"1","FC Martigues","47","34","19","9","6","53","24","29.0"
"2","AS Cannes","46","34","19","8","7","63","33","30.0"
"3","OGC Nice","41","34","14","13","7","49","32","17.0"
"4","AS Nancy","39","34","15","9","10","48","37","11.0"
"5","ASOA Valence","39","34","15","9","10","42","40","2.0"
"6","CS Sedan","38","34","13","12","9","46","31","15.0"
"7","SC Bastia","37","34","11","15","8","52","39","13.0"
"8","FC Istres","37","34","14","9","11","42","44","-2.0"
"9","Olympique Charleville","37","34","14","9","11","36","38","-2.0"
"10","Olympique Alès","36","34","14","8","12","42","44","-2.0"
"11","FC Mulhouse","34","34","12","10","12","49","45","4.0"
"12","CS Cuiseaux-Louhans","29","34","10","9","15","35","42","-7.0"
"13","Gazelec Ajaccio","28","34","11","6","17","43","55","-12.0"
"14","Rodez AF","27","34","9","9","16","30","57","-27.0"
"15","FC Perpignan","26","34","7","12","15","31","44","-13.0"
"16","SAS Épinal","24","34","8","8","18","35","55","-20.0"
"17","FC Annecy","24","34","8","8","18","28","55","-27.0"
"18","US Creteil","23","34","7","9","17","42","51","-9.0"
