"Season","Team","Country","Division","Apps","Goals"
"2004-05-01T00:00:00","Partizan","Serbia and Montenegro","1","1","0"
"2004-05-01T00:00:00","Teleoptik","Serbia and Montenegro","3","7","2"
"2005-06-01T00:00:00","Teleoptik","Serbia and Montenegro","3","26","14"
"2005-06-01T00:00:00","Partizan","Serbia and Montenegro","1","6","0"
"2006-07-01T00:00:00","Partizan","Serbia","1","10","1"
"2006-07-01T00:00:00","Teleoptik","Serbia","3","9","5"
"2007-08-01T00:00:00","Banat Zrenjanin","Serbia","1","5","0"
"2008-09-01T00:00:00","Partizan","Serbia","1","1","0"
"2008-09-01T00:00:00","Teleoptik","Serbia","3","12","6"
"2009-10-01T00:00:00","OFI Crete","Greece","2","6","0"
"2009-10-01T00:00:00","Teleoptik","Serbia","2","16","5"
"2010-11-01T00:00:00","Smederevo","Serbia","1","14","4"
"2011-01-01T00:00:00","Bnei Yehuda","Israel","1","45","7"
