"Year (Ceremony)","Film title used in nomination","Title in the original language","Director","Result"
"1973","The Earth is a Sinful Song","Maa on syntinen laulu","Rauni Mollberg Category:Articles with hCards","Not Nominated"
"1980","Tulipää","Tulipää","Pirjo Honkasalo & Pekka Lehto","Not Nominated"
"1981","Sign of the Beast","Pedon merkki","Jaakko Pakkasvirta Category:Articles with hCards","Not Nominated"
"1984","Pessi and Illusia","Pessi ja Illusia","Heikki Partanen Category:Articles with hCards","Not Nominated"
"1986","The Unknown Soldier","Tuntematon sotilas","Rauni Mollberg Category:Articles with hCards","Not Nominated"
"1987","The Snow Queen","Lumikuningatar","Päivi Hartzell Category:Articles with hCards","Not Nominated"
"1990","The Winter War","Talvisota","Pekka Parikka Category:Articles with hCards","Not Nominated"
"1994","Ripa Hits the Skids","Ripa ruostuu","Christian Lindblad Category:Articles with hCards","Not Nominated"
"1995","The Last Wedding","Kivenpyörittäjän kylä","Markku Pölönen Category:Articles with hCards","Not Nominated"
"1996","Drifting Clouds","Kauas pilvet karkaavat","Aki Kaurismäki Category:Articles with hCards","Not Nominated"
"1997","The Collector","Neitoperho","Auli Mantila Category:Articles with hCards","Not Nominated"
"1998","A Summer by the River","Kuningasjätkä","Markku Pölönen Category:Articles with hCards","Not Nominated"
"1999","The Tough Ones","Häjyt","Aleksi Mäkelä Category:Articles with hCards","Not Nominated"
"2000","Seven Songs from the Tundra","Seitsemän laulua tundralta","Anastasia Lapsui & Markku Lehmuskallio","Not Nominated"
"2001","The River","Joki","Jarmo Lampela Category:Articles with hCards","Not Nominated"
"2002","The Man Without a Past","Mies vailla menneisyyttä","Aki Kaurismäki Category:Articles with hCards","Nominee"
"2003","Elina: As If I Wasn't There","Elina - Som om jag inte fanns","Klaus Härö Category:Articles with hCards","Not Nominated"
"2004","Producing Adults","Lapsia ja aikuisia - Kuinka niitä tehdään?","Aleksi Salmenperä Category:Articles with hCards","Not Nominated"
"2005","Mother of Mine","Äideistä parhain","Klaus Härö Category:Articles with hCards","Not Nominated"
"2006","Lights in the Dusk","Laitakaupungin valot","Aki Kaurismäki Category:Articles with hCards","Not Nominated"
"2007","A Man's Job","Miehen työ","Aleksi Salmenperä Category:Articles with hCards","Not Nominated"
"2008","The Home of Dark Butterflies","Tummien perhosten koti","Dome Karukoski Category:Articles with hCards","Not Nominated"
"2009","Letters to Father Jacob","Postia pappi Jaakobille","Klaus Härö Category:Articles with hCards","Not Nominated"
"2010","Steam of Life","Miesten vuoro","Joonas Berghäll Category:Articles with hCards","Not Nominated"
"2011","Le Havre","Le Havre","Aki Kaurismaki Category:Articles with hCards","Not Nominated"
"2012","Purge","Puhdistus","Antti Jokinen Category:Articles with hCards","Not Nominated"
