"Year","Total Region","Biggenden","Eidsvold","Gayndah","Monto","Mundubbera","Perry"
"1933-01-01T00:00:00","14,322","2,476","1,475","3,760","3,514","2,302","795"
"1947-01-01T00:00:00","13,861","2,179","1,313","3,407","4,270","2,064","628"
"1954-01-01T00:00:00","13,917","1,974","1,311","3,352","4,458","2,326","496"
"1961-01-01T00:00:00","13,993","1,882","1,242","3,400","4,397","2,617","455"
"1966-01-01T00:00:00","13,715","1,722","1,702","3,182","4,155","2,580","374"
"1971-01-01T00:00:00","12,230","1,639","1,222","3,107","3,495","2,391","376"
"1976-01-01T00:00:00","11,504","1,532","1,231","2,814","3,228","2,395","304"
"1981-01-01T00:00:00","11,565","1,411","1,256","2,859","3,249","2,481","309"
"1986-01-01T00:00:00","11,583","1,553","1,212","2,887","3,266","2,355","310"
"1991-01-01T00:00:00","11,230","1,574","1,028","2,856","3,058","2,340","374"
"1996-01-01T00:00:00","11,243","1,570","970","2,916","2,922","2,514","351"
"2001-01-01T00:00:00","10,782","1,486","933","2,894","2,592","2,451","426"
"2006-01-01T00:00:00","10,551","1,506","876","2,911","2,577","2,236","445"
