"Game","February","Opponent","Score","Location/Attendance","Record","Points","Decision"
"50","1","Florida Panthers","4-3","Air Canada Centre","20-25-5","45","Giguère"
"51","3","Carolina Hurricanes","3-0","Air Canada Centre","21-25-5","47","Reimer"
"52","5","@ Buffalo Sabres","2-6","HSBC Arena","21-26-5","47","Reimer"
"53","7","Atlanta Thrashers","5-4","Air Canada Centre","22-26-5","49","Giguère"
"54","8","@ New York Islanders","5-3","Nassau Veterans Memorial Coliseum","23-26-5","51","Reimer"
"55","10","New Jersey Devils","1-2","Air Canada Centre","23-26-6","52","Reimer"
"56","12","@ Montreal Canadiens","0-3","Bell Centre","23-27-6","52","Giguère"
"57","15","@ Boston Bruins","4-3","TD Garden","24-27-6","54","Reimer"
"58","16","@ Buffalo Sabres","2-1","HSBC Arena","25-27-6","56","Reimer"
"59","19","Ottawa Senators","0-1","Air Canada Centre","25-27-7","57","Reimer"
"60","22","New York Islanders","2-1","Air Canada Centre","26-27-7","59","Reimer"
"61","24","@ Montreal Canadiens","5-4","Bell Centre","27-27-7","61","Reimer"
"62","26","Pittsburgh Penguins","5-6","Air Canada Centre","27-27-8","62","Reimer"
