"Round","Date","Matches","Clubs","New entries this round","Prize money"
"Preliminary Round","4 October 2008","51","55756","102","£1,000"
"First Round Qualifying","18 October 2008","72","29680","93","£2,300"
"Second Round Qualifying","1 November 2008","36","14560","","£3,000"
"Third Round Qualifying","22 November 2008","40","6656","44","£4,000"
"First Round","13 December 2008","32","2048","24","£5,000"
"Second Round","10 January 2009","16","512","","£6,000"
"Third Round","31 January 2009","8","128","","£7,000"
"Fourth Round","21 February 2009","4","32","","£8,000"
"Semi-finals","14 March and 21 March 2009","2","8","","£16,000"
"Final","9 May 2009","1","2","","Winner: £50,000 Loser: £25,000"
