"Name","Latitude","Longitude","Diameter","Year named","Namesake"
"Akitu Sulcus","38.9N","194.3W","365.0","1997-01-01T00:00:00","Where Marduk's statue was carried each year."
"Apsu Sulci","39.4S","234.7W","1950.0","1979-01-01T00:00:00","Sumero-Akkadian; primordial ocean."
"Arbela Sulcus","21.1S","349.8W","1940.0","1985-01-01T00:00:00","Assyrian town where Ishtar was worshipped."
"Bubastis Sulci","72.3S","282.9W","2651.0","1988-01-01T00:00:00","Town in Egypt where Bast was worshipped."
"Dukug Sulcus","83.5N","3.8W","385.0","1985-01-01T00:00:00","Sumerian holy cosmic chamber of the gods."
"Erech Sulcus","7.3S","179.2W","953.0","1985-01-01T00:00:00","Akkadian town that was built by Marduk."
"Harpagia Sulcus","11.7S","318.7W","1792.0","1985-01-01T00:00:00","Greek; where Ganymede was abducted an eagle."
"Hursag Sulcus","9.7S","233.1W","750.0","1985-01-01T00:00:00","Sumerian mountain where winds dwell."
"Lagash Sulcus","10.9S","163.2W","1575.0","1985-01-01T00:00:00","Early Babylonian town."
"Larsa Sulcus","3.8N","248.7W","1000.0","2000-01-01T00:00:00","Sumerian town."
"Mysia Sulci","7.0S","7.9W","5066.0","1979-01-01T00:00:00","Greek; where Ganymede was abducted by an eagle."
"Nineveh Sulcus","23.5N","53.1W","1700.0","1997-01-01T00:00:00","City where Ishtar was worshipped."
"Nippur Sulcus","36.9N","185.0W","1425.0","1985-01-01T00:00:00","Sumerian city."
"Philae Sulcus","65.5N","169.0W","900.0","1997-01-01T00:00:00","Temple that was the chief sanctuary of Isis."
"Sippar Sulcus","15.4S","189.3W","1508.0","1985-01-01T00:00:00","Ancient Babylonian town."
"Umma Sulcus","4.1N","250.0W","1270.0","2000-01-01T00:00:00","Sumerian town."
"Ur Sulcus","49.8N","177.5W","1145.0","1985-01-01T00:00:00","Ancient Sumerian seat of moon worship."
