"Name","Feature","Latitude","Longitude","Distance (kilometer)","Bearing (degree)"
"Aagaard Islands","Island","65°51.0'S","53°40.0'E","93.4","346"
"Armstrong Peak","Peak","66°24.0'S","53°23.0'E","45.1","311"
"Bandy Nunataks","Nunatak","66°55.0'S","53°36.0'E","36.8","221"
"Bird Ridge","Ridge","66°47.0'S","55°04.0'E","42.3","108"
"Bratthø","Peak","66°39.0'S","54°40.0'E","22.8","0"
"Cape Batterbee","Cape","65°51.0'S","53°48.0'E","92.2","350"
"Conradi Peak","Peak","66°08.0'S","54°35.0'E","62.4","0"
"Doyle Point","Point","65°53.0'S","54°52.0'E","92.8","0"
"Grimsley Peaks","Peak","66°34.0'S","53°40.0'E","24.1","297"
"Knausen","Peak","66°22.0'S","53°13.0'E","53.1","308"
"Mjåkollen","Peak","66°33.0'S","53°28.0'E","32.8","293"
"Mount Bennett","Mountain","66°32.0'S","53°38.0'E","27.2","303"
"Mount Breckinridge","Mountain","66°37.0'S","53°41.0'E","21.3","285"
"Mount Bride","Mountain","66°26.0'S","53°57.0'E","27.4","341"
"Mount Gate","Mountain","66°51.0'S","53°18.0'E","42.5","241"
"Mount Griffiths","Mountain","66°28.0'S","54°01.0'E","23.0","345"
"Mount Maines","Mountain","66°38.0'S","53°54.0'E","11.6","288"
"Mount Pasco","Mountain","66°59.0'S","54°44.0'E","43.5","144"
"Mount Stadler","Mountain","66°54.0'S","53°14.0'E","47.8","237"
"Napier Mountains","Mountain","66°30.0'S","53°40.0'E","28.3","311"
"Newman Nunataks","Nunatak","66°40.0'S","54°45.0'E","26.4","0"
"Proclamation Island","Island","65°51.0'S","53°41.0'E","93.2","347"
"Rabben","Peak","66°27.0'S","54°07.0'E","24.1","356"
"Skarvet Nunatak","Nunatak","66°26.0'S","53°45.0'E","31.4","326"
"Sørtoppen Nunatak","Nunatak","66°40.0'S","53°28.0'E","30.1","270"
"Tippet Nunataks","Nunatak","66°44.0'S","53°15.0'E","40.3","259"
"Vicars Island","Island","65°50.0'S","54°29.0'E","93.9","0"
"Wheeler Rocks","Rock","66°17.0'S","55°08.0'E","61.0","0"
"Wilkinson Peaks","Peak","66°37.0'S","54°15.0'E","7.1","0"
"Young Nunataks","Nunatak","66°44.0'S","54°08.0'E","7.4","186"
