"Name","Status","Population","District","Former local authority"
"Cambridge","Unparished area","108863","Cambridge","Cambridge Municipal Borough"
"Ashley","Civil parish","585","East Cambridgeshire","Newmarket Rural District"
"Bottisham","Civil parish","1983","East Cambridgeshire","Newmarket Rural District"
"Brinkley","Civil parish","383","East Cambridgeshire","Newmarket Rural District"
"Burrough Green","Civil parish","386","East Cambridgeshire","Newmarket Rural District"
"Burwell","Civil parish","5833","East Cambridgeshire","Newmarket Rural District"
"Cheveley","Civil parish","1912","East Cambridgeshire","Newmarket Rural District"
"Chippenham","Civil parish","528","East Cambridgeshire","Newmarket Rural District"
"Coveney","Civil parish","421","East Cambridgeshire","Ely Rural District"
"Downham","Civil parish","2409","East Cambridgeshire","Ely Rural District"
"Dullingham","Civil parish","718","East Cambridgeshire","Ely Rural District"
"Ely","City","15102","East Cambridgeshire","Ely Urban District"
"Fordham","Civil parish","2620","East Cambridgeshire","Newmarket Rural District"
"Haddenham","Civil parish","3228","East Cambridgeshire","Ely Rural District"
"Isleham","Civil parish","2347","East Cambridgeshire","Newmarket Rural District"
"Kennett","Civil parish","364","East Cambridgeshire","Newmarket Rural District"
"Kirtling","Civil parish","370","East Cambridgeshire","Newmarket Rural District"
"Littleport","Civil parish","7521","East Cambridgeshire","Ely Rural District"
"Lode","Civil parish","892","East Cambridgeshire","Newmarket Rural District"
"Mepal","Civil parish","921","East Cambridgeshire","Ely Rural District"
"Reach","Civil parish","365","East Cambridgeshire","Newmarket Rural District"
"Snailwell","Civil parish","224","East Cambridgeshire","Newmarket Rural District"
"Soham","Town","9102","East Cambridgeshire","Newmarket Rural District"
"Stetchworth","Civil parish","694","East Cambridgeshire","Newmarket Rural District"
"Stretham","Civil parish","1685","East Cambridgeshire","Ely Rural District"
"Sutton","Civil parish","3363","East Cambridgeshire","Ely Rural District"
"Swaffham Bulbeck","Civil parish","853","East Cambridgeshire","Newmarket Rural District"
"Swaffham Prior","Civil parish","765","East Cambridgeshire","Newmarket Rural District"
"Thetford","Civil parish","693","East Cambridgeshire","Ely Rural District"
"Wentworth","Civil parish","159","East Cambridgeshire","Ely Rural District"
"Westley Waterless","Civil parish","155","East Cambridgeshire","Newmarket Rural District"
"Wicken","Civil parish","835","East Cambridgeshire","Newmarket Rural District"
"Wilburton","Civil parish","1231","East Cambridgeshire","Ely Rural District"
"Witcham","Civil parish","434","East Cambridgeshire","Ely Rural District"
"Witchford","Civil parish","2344","East Cambridgeshire","Ely Rural District"
"Woodditton","Civil parish","1789","East Cambridgeshire","Newmarket Rural District"
"Benwick","Civil parish","860","Fenland","North Witchford Rural District"
"Chatteris","Town","8820","Fenland","Chatteris Urban District"
"Christchurch","Civil parish","719","Fenland","Wisbech Rural District"
"Doddington","Civil parish","2088","Fenland","North Witchford Rural District"
"Elm","Civil parish","3295","Fenland","Wisbech Rural District"
"Gorefield","Civil parish","1064","Fenland","Wisbech Rural District"
"Leverington","Civil parish","2914","Fenland","Wisbech Rural District"
"Manea","Civil parish","1579","Fenland","North Witchford Rural District"
"March","Town","19042","Fenland","March Urban District"
"Newton","Civil parish","657","Fenland","Wisbech Rural District"
"Parson Drove","Civil parish","1030","Fenland","Wisbech Rural District"
"Tydd St Giles","Civil parish","995","Fenland","Wisbech Rural District"
"Whittlesey","Town","15581","Fenland","Whittlesey Urban District"
"Wimblington","Civil parish","1656","Fenland","North Witchford Rural District"
"Wisbech","Town","20200","Fenland","Wisbech Municipal Borough"
"Wisbech St Mary","Civil parish","3019","Fenland","Wisbech Rural District"
"Abbots Ripton","Civil parish","309","Huntingdonshire","Huntingdon Rural District"
"Abbotsley","Civil parish","632","Huntingdonshire","St Neots Rural District"
"Alconbury","Civil parish","1670","Huntingdonshire","Huntingdon Rural District"
"Alconbury Weston","Civil parish","793","Huntingdonshire","Huntingdon Rural District"
"Alwalton","Civil parish","336","Huntingdonshire","Norman Cross Rural District"
"Barham and Woolley","Civil parish","55","Huntingdonshire","Huntingdon Rural District"
"Bluntisham","Civil parish","1976","Huntingdonshire","St Ives Rural District"
"Brampton","Civil parish","5030","Huntingdonshire","Huntingdon Rural District"
"Brington and Molesworth","Civil parish","412","Huntingdonshire","Huntingdon Rural District"
"Broughton","Civil parish","241","Huntingdonshire","St Ives Rural District"
"Buckden","Civil parish","2515","Huntingdonshire","St Neots Rural District"
"Buckworth","Civil parish","118","Huntingdonshire","Huntingdon Rural District"
"Bury","Civil parish","1713","Huntingdonshire","St Ives Rural District"
"Bythorn and Keyston","Civil parish","271","Huntingdonshire","Huntingdon Rural District"
"Catworth","Civil parish","366","Huntingdonshire","St Neots Rural District"
"Chesterton","Civil parish","140","Huntingdonshire","Norman Cross Rural District"
"Colne","Civil parish","784","Huntingdonshire","St Ives Rural District"
"Conington","Civil parish","216","Huntingdonshire","Huntingdon Rural District"
"Covington","Civil parish","85","Huntingdonshire","St Neots Rural District"
"Denton and Caldecote","Civil parish","55","Huntingdonshire","Norman Cross Rural District"
"Diddington","Civil parish","83","Huntingdonshire","St Neots Rural District"
"Earith","Civil parish","1677","Huntingdonshire","St Ives Rural District"
"Easton","Civil parish","162","Huntingdonshire","Huntingdon Rural District"
"Ellington","Civil parish","624","Huntingdonshire","Huntingdon Rural District"
"Elton","Civil parish","726","Huntingdonshire","Norman Cross Rural District"
"Farcet","Civil parish","1647","Huntingdonshire","Norman Cross Rural District"
"Fenstanton","Civil parish","2868","Huntingdonshire","St Ives Rural District"
"Folksworth and Washingley","Civil parish","905","Huntingdonshire","Norman Cross Rural District"
"Glatton","Civil parish","304","Huntingdonshire","Norman Cross Rural District"
"Godmanchester","Town","5996","Huntingdonshire","Huntingdon and Godmanchester Municipal Borough"
"Grafham","Civil parish","585","Huntingdonshire","St Neots Rural District"
"Great Gidding","Civil parish","289","Huntingdonshire","Huntingdon Rural District"
"Great Gransden","Civil parish","969","Huntingdonshire","St Neots Rural District"
"Great Paxton","Civil parish","1019","Huntingdonshire","St Neots Rural District"
"Great Staughton","Civil parish","836","Huntingdonshire","St Neots Rural District"
"Haddon","Civil parish","56","Huntingdonshire","Norman Cross Rural District"
"Hail Weston","Civil parish","591","Huntingdonshire","St Neots Rural District"
"Hamerton and Steeple Gidding","Civil parish","143","Huntingdonshire","Huntingdon Rural District"
"Hemingford Abbots","Civil parish","583","Huntingdonshire","St Ives Rural District"
"Hemingford Grey","Civil parish","2524","Huntingdonshire","St Ives Rural District"
"Hilton","Civil parish","982","Huntingdonshire","St Ives Rural District"
"Holme","Civil parish","610","Huntingdonshire","Norman Cross Rural District"
"Holywell cum Needingworth","Civil parish","2539","Huntingdonshire","St Ives Rural District"
"Houghton and Wyton","Civil parish","1595","Huntingdonshire","St Ives Rural District"
"Huntingdon","Town","20099","Huntingdonshire","Huntingdon and Godmanchester Municipal Borough"
"Kimbolton and Stonely","Civil parish","1432","Huntingdonshire","St Neots Rural District"
"Kings Ripton","Civil parish","168","Huntingdonshire","Huntingdon Rural District"
"Leighton","Civil parish","224","Huntingdonshire","Huntingdon Rural District"
"Little Gidding","Civil parish","35","Huntingdonshire","Huntingdon Rural District"
"Little Paxton","Civil parish","3006","Huntingdonshire","St Neots Rural District"
"Morborne","Civil parish","37","Huntingdonshire","Norman Cross Rural District"
"Offord Cluny and Offord D'Arcy","Civil parish","1249","Huntingdonshire","St Neots Rural District"
"Old Hurst","Civil parish","249","Huntingdonshire","St Ives Rural District"
"Old Weston","Civil parish","190","Huntingdonshire","Huntingdon Rural District"
"Perry","Civil parish","1146","Huntingdonshire","St Neots Rural District"
"Pidley cum Fenton","Civil parish","367","Huntingdonshire","St Ives Rural District"
"Ramsey","Town","8047","Huntingdonshire","Ramsey Urban District"
"Sawtry","Civil parish","5568","Huntingdonshire","Huntingdon Rural District"
"Sibson cum Stibbington","Civil parish","438","Huntingdonshire","Norman Cross Rural District"
"Somersham","Civil parish","3802","Huntingdonshire","St Ives Rural District"
"Southoe and Midloe","Civil parish","411","Huntingdonshire","St Neots Rural District"
"Spaldwick","Civil parish","613","Huntingdonshire","Huntingdon Rural District"
"St Ives","Town","16001","Huntingdonshire","St Ives Municipal Borough"
"St Neots","Town","27372","Huntingdonshire","St Neots Urban District"
"Stilton","Civil parish","2445","Huntingdonshire","Norman Cross Rural District"
"Stow Longa","Civil parish","135","Huntingdonshire","St Neots Rural District"
"The Stukeleys","Civil parish","2052","Huntingdonshire","Huntingdon Rural District"
"Tilbrook","Civil parish","258","Huntingdonshire","St Neots Rural District"
"Toseland","Civil parish","79","Huntingdonshire","St Neots Rural District"
"Upton and Coppingford","Civil parish","207","Huntingdonshire","Huntingdon Rural District"
"Upwood and the Raveleys","Civil parish","1218","Huntingdonshire","Huntingdon Rural District"
"Warboys","Civil parish","3866","Huntingdonshire","St Ives Rural District"
"Waresley cum Tetworth","Civil parish","284","Huntingdonshire","St Neots Rural District"
"Water Newton","Civil parish","75","Huntingdonshire","Norman Cross Rural District"
"Winwick","Civil parish","81","Huntingdonshire","Huntingdon Rural District"
"Wistow","Civil parish","527","Huntingdonshire","St Ives Rural District"
"Wood Walton","Civil parish","237","Huntingdonshire","Huntingdon Rural District"
"Woodhurst","Civil parish","327","Huntingdonshire","St Ives Rural District"
"Wyton on the Hill","Civil parish","964","Huntingdonshire","St Ives Rural District"
"Yaxley","Civil parish","7413","Huntingdonshire","Norman Cross Rural District"
"Yelling","Civil parish","302","Huntingdonshire","St Neots Rural District"
"Ailsworth","Civil parish","413","Peterborough","Peterborough Rural District"
"Bainton","Civil parish","305","Peterborough","Barnack Rural District"
"Barnack","Civil parish","851","Peterborough","Barnack Rural District"
"Borough Fen","Civil parish","130","Peterborough","Peterborough Rural District"
"Bretton","Civil parish","12689","Peterborough","Peterborough Municipal Borough"
"Castor","Civil parish","817","Peterborough","Peterborough Rural District"
"Deeping Gate","Civil parish","465","Peterborough","Peterborough Rural District"
"Etton","Civil parish","158","Peterborough","Peterborough Rural District"
"Eye","Civil parish","3779","Peterborough","Peterborough Rural District"
"Glinton","Civil parish","1752","Peterborough","Peterborough Rural District"
"Hampton Hargate and Vale","Civil parish","1007","Peterborough","Old Fletton Urban District"
"Helpston","Civil parish","825","Peterborough","Peterborough Rural District"
"Marholm","Civil parish","148","Peterborough","Peterborough Rural District"
"Maxey","Civil parish","690","Peterborough","Peterborough Rural District"
"Newborough","Civil parish","1377","Peterborough","Peterborough Rural District"
"Northborough","Civil parish","1332","Peterborough","Peterborough Rural District"
"Old Fletton","Unparished area","16240","Peterborough","Old Fletton Urban District"
"Orton Longueville","Civil parish","11070","Peterborough","Norman Cross Rural District"
"Orton Waterville","Civil parish","9976","Peterborough","Norman Cross Rural District"
"Peakirk","Civil parish","321","Peterborough","Peterborough Rural District"
"Peterborough","Unparished area","85796","Peterborough","Peterborough Municipal Borough"
"Southorpe","Civil parish","134","Peterborough","Barnack Rural District"
"St Martin's Without","Civil parish","46","Peterborough","Barnack Rural District"
