"Year","Entrant","Chassis","Engine","Tyres","Points"
"1963-01-01T00:00:00","Canadian Stebro Racing","Stebro Mk IV","109E 1.5 L4","D","0"
"1963-01-01T00:00:00","Ted Lanfear","Lotus 22","109E 1.5 L4","D","0"
"1963-01-01T00:00:00","David Prophet","Brabham BT6","109E 1.5 L4","D","0"
"1964-01-01T00:00:00","Bob Gerard Racing","Cooper T71/T73","109E 1.5 L4","D","0"
"1964-01-01T00:00:00","John Willment Automobiles","Brabham BT10","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","John Willment Automobiles","Brabham BT10","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","David Prophet Racing","Brabham BT10","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","Ted Lanfear","Lotus 22","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","Brian Raubenheimer","Lotus 20","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","Dave Charlton","Lotus 20","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","Trevor Blokdyk","Cooper T59","109E 1.5 L4","D","0"
"1965-01-01T00:00:00","Bob Gerard Racing","Cooper Cooper T73","109E 1.5 L4","D","0"
"1967-01-01T00:00:00","Team Lotus","Lotus 49","Cosworth DFV 3.0 V8","F","44"
"1967-01-01T00:00:00","Matra Sports","Matra MS7","Cosworth FVA 1.6 L4","D","0"
"1968-01-01T00:00:00","Team Lotus Gold Leaf Team Lotus","Lotus 49 49B","Ford Cosworth DFV 3.0 V8","F","62"
"1968-01-01T00:00:00","Rob Walker Racing Team","Lotus 49 49B","Ford Cosworth DFV 3.0 V8","F","62"
"1968-01-01T00:00:00","Bruce McLaren Motor Racing","McLaren M7A","Ford Cosworth DFV 3.0 V8","G","49"
"1968-01-01T00:00:00","Anglo American Racers","McLaren M7A","Ford Cosworth DFV 3.0 V8","G","49"
"1968-01-01T00:00:00","Joakim Bonnier Racing Team","McLaren M5A","Ford Cosworth DFV 3.0 V8","G","49"
"1968-01-01T00:00:00","Matra International","Matra MS9 MS10","Ford Cosworth DFV 3.0 V8","D","45"
"1968-01-01T00:00:00","Matra Sports","Matra MS7 MS11","Ford Cosworth DFV 3.0 V8","D","45"
"1969-01-01T00:00:00","Matra International","Matra MS10 MS80 MS84","Ford Cosworth DFV 3.0 V8","D","66"
"1969-01-01T00:00:00","Motor Racing Developments Ltd","Brabham BT26A BT26","Ford Cosworth DFV 3.0 V8","G","49"
"1969-01-01T00:00:00","Frank Williams Racing Cars","Brabham BT26A BT26","Ford Cosworth DFV 3.0 V8","D","49"
"1969-01-01T00:00:00","Silvio Moser Racing Team","Brabham BT24","Ford Cosworth DFV 3.0 V8","G","49"
"1969-01-01T00:00:00","Gold Leaf Team Lotus","Lotus 49B 63","Ford Cosworth DFV 3.0 V8","F","47"
"1969-01-01T00:00:00","Rob Walker Racing Team","Lotus 49B 63","Ford Cosworth DFV 3.0 V8","F","47"
"1969-01-01T00:00:00","Team Gunston","Lotus 49B 63","Ford Cosworth DFV 3.0 V8","D","47"
"1969-01-01T00:00:00","Ecurie Bonnier","Lotus 49B 63","Ford Cosworth DFV 3.0 V8","F","47"
"1969-01-01T00:00:00","Pete Lovely Volkswagen Inc.","Lotus 49B 63","Ford Cosworth DFV 3.0 V8","F","47"
"1969-01-01T00:00:00","Bruce McLaren Motor Racing","McLaren M7A M7C M9A","Ford Cosworth DFV 3.0 V8","G","38"
"1969-01-01T00:00:00","Team Lawson","McLaren M7A M7C M9A","Ford Cosworth DFV 3.0 V8","D","38"
"1969-01-01T00:00:00","Antique Automobiles","McLaren M7B","Ford Cosworth DFV 3.0 V8","G","38"
