"Season","Series","Team Name","Races","Wins","Poles","F.L.","Podiums","Points","Position"
"2005","Formula BMW ADAC","KDF Motorsport","20","1","0","0","2","44","12"
"2006","Formula BMW ADAC","Eifelland Racing","18","2","4","4","9","182","2"
"2006","Formula Renault 2.0 NEC","Koiranen Bros. Motorsport","2","0","0","0","0","12","32"
"2006","Formula BMW World Final","Eifelland Racing","1","0","0","0","1","","2"
"2007","Formula Renault 2.0 Eurocup","Epsilon Red Bull Team","14","0","0","0","3","46","9"
"2007","Formula Renault 2.0 Italy","Epsilon Red Bull Team","14","5","2","3","7","274","1"
"2008","Formula 3 Euro Series","Mücke Motorsport","20","2","0","2","5","46","5"
"2008","Macau Grand Prix","Signature-Plus","1","0","0","0","0","","4"
"2008","Masters of Formula 3","Mücke Motorsport","1","0","0","0","0","","4"
"2008-09","GP2 Asia Series","Trust Team Arden","2","0","0","0","0","0","29"
"2009","Formula 3 Euro Series","Signature-Plus","20","1","0","1","4","43","6"
"2009","Macau Grand Prix","Hitech Racing","1","0","0","0","0","","8"
"2009","Masters of Formula 3","Signature-Plus","1","0","0","0","1","","2"
"2010","Formula 3 Euro Series","Motopark Academy","6","0","0","0","0","0","17"
