"№","Title","Directed by","Written by","Original air date","Production code","U.S. viewers (million)"
"1",""" Pilot ""","Alex Graves","J. J. Abrams & Alex Kurtzman & Roberto Orci","2008-09-09T00:00:00","276038","9.13"
"3",""" The Ghost Network ""","Frederick E. O. Toye","David H. Goodman & J. R. Orci","2000-09-23T00:00:00","3T7652","9.42"
"4",""" The Arrival ""","Paul Edwards","J. J. Abrams & Jeff Pinkner","2000-09-30T00:00:00","3T7653","9.91"
"5",""" Power Hungry ""","Christopher Misiano","Jason Cahill & Julia Cho","2000-10-14T00:00:00","3T7654","9.16"
"6",""" The Cure ""","Bill Eagles","Felicia D. Henderson & Brad Caleb Kane","2000-10-21T00:00:00","3T7655","8.91"
"7",""" In Which We Meet Mr. Jones ""","Brad Anderson","J. J. Abrams & Jeff Pinkner","2000-11-11T00:00:00","3T7656","8.61"
"8",""" The Equation ""","Gwyneth Horder-Payton","J. R. Orci & David H. Goodman","2000-11-18T00:00:00","3T7657","9.18"
"9",""" The Dreamscape ""","Frederick E. O. Toye","Zack Whedon & Julia Cho","2000-11-25T00:00:00","3T7658","7.7"
"10",""" Safe ""","Michael Zinberg","David H. Goodman & Jason Cahill","2008-12-02T00:00:00","3T7659","8.54"
"12",""" The No-Brainer ""","John Polson","David H. Goodman & Brad Caleb Kane","2000-01-27T00:00:00","3T7661","11.62"
"13",""" The Transformation ""","Brad Anderson","Zack Whedon & J. R. Orci","2009-02-03T00:00:00","3T7662","12.78"
"15",""" Inner Child ""","Frederick E. O. Toye","Brad Caleb Kane & Julia Cho","2009-04-07T00:00:00","3T7664","9.88"
"16",""" Unleashed ""","Brad Anderson","Zack Whedon & J. R. Orci","2000-04-14T00:00:00","3T7665","10.15"
"17",""" Bad Dreams ""","Akiva Goldsman","Akiva Goldsman","2000-04-21T00:00:00","3T7666","9.89"
