"Team","Head Coach","Team Captain","Venue","Capacity","Kitmaker","Shirt sponsor","Club Chairman"
"AEK Larnaca","Savvas Constantinou","Constantinos Mina","Neo GSZ Stadium","13032","Mass","CytaVision","Marios Ellinas"
"AEL Limassol","Mihai Stoichiţă","Simos Krassas","Tsirion Stadium","13331","Mass","Sinergatiko Tamieftirio Lemesou","Andreas Sofokleous"
"AEP Paphos","Nir Klinger","Giorgos Georgiou","Pafiako Stadium","10000","Mass","Eurolink Investment Group","Fillippos Georgiou"
"Alki Larnaca","Panikos Xiourouppas","Andres Rouga Category:Articles with hCards","Ammochostos Stadium","5500","Legea","TEAM A Security","Demetris Phantousis"
"Anorthosis Famagusta","Michalis Pamboris","Nikos Nicolaou","Antonis Papadopoulos Stadium","10003","Puma","Quality Group Developments","Chris Georgiades"
"APEP Pitsilia","Willy Scheepers","Bruno Piano","Tsirion Stadium","13331","Mass","KKCG","Panayiotis Neokleous"
"APOEL","Ivan Jovanović","Marinos Satsias","GSP Stadium","22859","Lotto","MTN Group","Foivos Erotokritou"
"Apollon Limassol","Thomas von Heesen","Christos Theophilou","Tsirion Stadium","13331","Lotto","Columbia Ship Management","Theodoros Antoniou"
"APOP Kinyras Peyias","Giorgos Polyviou","Giannis Sfakianakis","Peyia Municipal Stadium","3828","Puma","PrimeTel","Michalis Mitas"
"Atromitos Yeroskipou","Sofoklis Sofokleous","Argyris Petrou","Pafiako Stadium","10000","Umbro","SPE Yeroskipou","Vangelis Genis"
"Doxa Katokopia","Charalmbos Christodoulou","Kyriacos Polykarpou","Makario Stadium","16000","Puma","Yiannakas Real Estate Ltd","Charalambos Argyrou"
"Enosis Neon Paralimni","Adamos Adamou & Antonis Kleftis","Demos Goumenos","Paralimni Stadium","5800","Lotto","Elian Developers","Adamos Loizou"
"Ethnikos Achna","Stephane Demol","Christos Poyiatzis","Dasaki Stadium","7000","Nike","Famagusta Developers","Kikis Philippou"
"Omonia","Takis Lemonis","Costas Kaiafas","GSP Stadium","22859","Lotto","Ocean Tankers","Miltiadis Neophytou"
