"Year","Class","Team","Bike","Races","Wins","Podiums","Poles","F. laps","Points"
"2002-01-01T00:00:00","125cc","Matteoni Racing Team","Aprilia RS 125","6","0","0","0","0","3"
"2003-01-01T00:00:00","125cc","Matteoni Racing Team","Aprilia RS 125","15","0","0","0","0","31"
"2004-01-01T00:00:00","125cc","Rauch Bravo","Aprilia RS 125","13","1","1","2","0","79"
"2005-01-01T00:00:00","125cc","Nocable.it Race","Aprilia RS 125","16","1","6","1","1","177"
"2006-01-01T00:00:00","250cc","Metis Gilera","Gilera RSA 250","16","0","0","0","0","92"
"2007-01-01T00:00:00","250cc","Metis Gilera","Gilera RSA 250","17","0","0","0","0","97"
"2008-01-01T00:00:00","250cc","Metis Gilera","Gilera RSA 250","16","6","12","7","4","281"
"2009-01-01T00:00:00","250cc","Metis Gilera","Gilera RSA 250","15","6","10","3","4","231"
"2010-01-01T00:00:00","MotoGP","San Carlo Honda Gresini","Honda RC212V","18","0","0","0","0","125"
"2011-01-01T00:00:00","MotoGP","San Carlo Honda Gresini","Honda RC212V","16","0","2","2","0","139"
