"Week","Date","Opponent","Result","Venue","Attendance","Record"
"1","1962-09-16T00:00:00","at Green Bay Packers","L 34-7","City Stadium","38,669","0-1"
"2","1962-09-23T00:00:00","Baltimore Colts","L 34-7","Metropolitan Stadium","30,787","0-2"
"3","1962-09-30T00:00:00","at San Francisco 49ers","L 21-7","Kezar Stadium","38,407","0-3"
"4","1962-10-07T00:00:00","Chicago Bears","L 13-0","Metropolitan Stadium","33,141","0-4"
"5","1962-10-14T00:00:00","Green Bay Packers","L 48-21","Metropolitan Stadium","41,475","0-5"
"6","1962-10-21T00:00:00","at Los Angeles Rams","W 38-14","Los Angeles Memorial Coliseum","33,071","1-5"
"7","1962-10-28T00:00:00","Philadelphia Eagles","W 31-21","Metropolitan Stadium","30,071","2-5"
"8","1962-11-04T00:00:00","at Pittsburgh Steelers","L 39-31","Forbes Field","14,462","2-6"
"9","1962-11-11T00:00:00","at Chicago Bears","L 31-30","Wrigley Field","46,984","2-7"
"10","1962-11-18T00:00:00","Detroit Lions","L 17-6","Metropolitan Stadium","31,257","2-8"
"11","1962-11-25T00:00:00","Los Angeles Rams","T 24-24","Metropolitan Stadium","26,728","2-8-1"
"12","1962-12-02T00:00:00","San Francisco 49ers","L 35-12","Metropolitan Stadium","33,076","2-9-1"
"13","1962-12-09T00:00:00","at Detroit Lions","L 37-23","Tiger Stadium","42,256","2-10-1"
"14","1962-12-16T00:00:00","at Baltimore Colts","L 42-17","Memorial Stadium","53,645","2-11-1"
